Genotype,Envir,Row,Column,silking,R,C,silking_spats_residuals,silking_spats_geno_pred_values,silking_spats_adj_pheno
A375,Ner12R_block_29,10,11,71.3778600686,10,11,-1.31643929182698,75.5789370194159,74.2624977275889
B100,Ner12R_block_29,34,11,80.8764113743,34,11,0.899538863253113,77.7949151744959,78.694454037749
B106,Ner12R_block_29,34,8,80.8764113743,34,8,0.135626753207376,77.0310030644502,77.1666298176576
B73,Ner12R_block_29,22,11,74.2429872652,22,11,-1.14927207929021,75.7461042319526,74.5968321526624
EC232,Ner12R_block_29,22,10,70.1020957105,22,10,-3.52789490430342,73.3674814069393,69.8395865026359
F05404,Ner12R_block_29,10,13,71.3778600686,10,13,-0.693409726053631,76.2019665851891,75.5085568591355
F353,Ner12R_block_29,22,13,70.1020957105,22,13,-2.84415310273096,74.0512232085118,71.2070701057809
F618,Ner12R_block_29,34,10,80.8764113743,34,10,0.714777233814928,77.6101535450578,78.3249307788727
F888,Ner12R_block_29,22,8,82.1461213448,22,8,1.66535270055961,78.5607290118024,80.226081712362
I233,Ner12R_block_29,34,13,86.3933925839,34,13,3.78828566421078,80.6836619754535,84.4719476396643
Lo1016,Ner12R_block_29,10,8,75.7721262276,10,8,-0.62440854628278,76.2709677649599,75.6465592186772
Lo1035,Ner12R_block_29,22,14,80.8764113743,22,14,2.67364716897767,79.5690234802205,82.2426706491982
Lo1284,Ner12R_block_29,22,9,78.5924166874,22,9,0.320889616962404,77.2162659282052,77.5371555451676
Mo15W,Ner12R_block_29,10,9,83.5272539732,10,9,3.80754400441251,80.7029203156554,84.5104643200679
NK807,Ner12R_block_29,34,14,74.2429872652,34,14,-2.27802151799962,74.6173547932432,72.3393332752436
PB116,Ner12R_block_29,10,14,74.2429872652,10,14,0.993986917129718,77.8893632283726,78.8833501455023
PB98TR,Ner12R_block_29,22,12,80.8764113743,22,12,2.3846641541156,79.2800404653583,81.6647046194739
PHR36,Ner12R_block_29,34,9,78.5924166874,34,9,-0.699098660166996,76.1962776510757,75.4971789909087
UH_S018,Ner12R_block_29,10,12,74.2429872652,10,12,0.457076212014982,77.3524525232578,77.8095287352728
UH250,Ner12R_block_29,10,10,70.1020957105,10,10,-2.3859663465406,74.5094099647021,72.1234436181615
11430,Deb12R_block_27,13,21,72.4142076817,13,21,0.319868443368804,70.5090655411946,70.8289339845634
DK78371A,Deb12R_block_27,29,21,73.3721410878,29,21,1.21419434004946,71.4033914378754,72.6175857779249
EZ36,Deb12R_block_27,47,17,74.7259909955,47,17,-0.48843168694421,69.7007654108815,69.2123337239373
F04702,Deb12R_block_27,13,19,66.8932531126,13,19,-0.285888866466536,69.9033082313592,69.6174193648926
F05101,Deb12R_block_27,29,16,71.0427983458,29,16,-0.636338764399653,69.5528583334262,68.9165195690265
I261,Deb12R_block_27,47,15,74.7259909955,47,15,-0.624810436345754,69.5643866614801,68.9395762251343
LAN496,Deb12R_block_27,29,17,77.6345701728,29,17,1.37018540885538,71.5593825066814,72.9295679155368
LH145,Deb12R_block_27,13,15,65.7698661507,13,15,-0.613750866523532,69.5754462313022,68.9616953647787
LH38,Deb12R_block_27,13,18,68.1215767585,13,18,0.455433205692685,70.6446303035185,71.1000635092112
LH60,Deb12R_block_27,13,17,72.4142076817,13,17,0.526537646857847,70.7157347446837,71.2422723915416
LH82,Deb12R_block_27,47,20,65.7698661507,47,20,0.613385536259145,70.8025826340851,71.4159681703442
Lo1101,Deb12R_block_27,29,18,71.0427983458,29,18,0.694983703908378,70.8841808017343,71.5791645056427
Lo1301,Deb12R_block_27,13,16,66.8932531126,13,16,-0.399104711666624,69.7900923861592,69.3909876744926
N22,Deb12R_block_27,29,15,74.7259909955,29,15,1.00683169614824,71.1960287939741,72.2028604901224
NDB8,Deb12R_block_27,29,19,65.7698661507,29,19,-1.52316945839657,68.6660276394292,67.1428581810326
NS701,Deb12R_block_27,47,19,69.553958451,47,19,1.19186381120026,71.3810609090262,72.5729247202264
Pa91,Deb12R_block_27,47,16,76.2782631063,47,16,0.963408793064275,71.1526058908902,72.1160146839545
UH_P074,Deb12R_block_27,29,20,65.7698661507,29,20,-0.823258921071982,69.3659381767538,68.5426792556818
UH_P115,Deb12R_block_27,13,20,65.7698661507,13,20,-0.693144971606216,69.4960521262195,68.8029071546133
UH_S025,Deb12R_block_27,47,18,65.7698661507,47,18,-1.73215258826664,68.457044509559,66.7248919212924
UH250,Deb12R_block_27,47,21,65.7698661507,47,21,-0.53664131371697,69.6525557841088,69.1159144703918
11430,Deb12R_block_1,19,2,65.7698661507,19,2,-0.124316229546196,68.4251697918131,68.3008535622669
B106,Deb12R_block_1,1,1,71.0427983458,1,1,0.0898289974129085,68.6393150187723,68.7291440161852
B89,Deb12R_block_1,1,4,64.6744337149,1,4,-0.241636804764738,68.3078492165946,68.0662124118299
CR1Ht,Deb12R_block_1,1,2,63.4177441029,1,2,-1.31116853647596,67.2383174848832,65.9271489484073
DK4676A,Deb12R_block_1,33,4,66.8932531126,33,4,-0.85490730881844,67.6945787125408,66.8396714037223
F04401,Deb12R_block_1,33,2,66.8932531126,33,2,0.409884135800652,68.9593701571602,69.3692542929608
F354,Deb12R_block_1,19,7,65.7698661507,19,7,-1.51960034781762,67.0298856735415,65.5102853257239
F7001,Deb12R_block_1,33,6,71.0427983458,33,6,-0.361670679741636,68.1878153416177,67.8261446618761
F7057,Deb12R_block_1,19,1,69.553958451,19,1,0.251671180929762,68.8011572022893,69.0528283832191
F7058,Deb12R_block_1,1,6,63.4177441029,1,6,-0.653344504338008,67.8961415170213,67.2427970126833
LH60,Deb12R_block_1,33,7,76.2782631063,33,7,1.26991301191512,69.8193990332746,71.0893120451897
Lo1056,Deb12R_block_1,1,3,73.3721410878,1,3,1.30505388714012,69.8545399084997,71.1595937956398
NK764,Deb12R_block_1,1,7,65.7698661507,1,7,0.450105364437349,68.9995913857968,69.4496967502341
P465P,Deb12R_block_1,19,3,72.4142076817,19,3,0.00601391790119976,68.5554999392605,68.5615138571617
PB116,Deb12R_block_1,19,4,69.553958451,19,4,0.642264359624335,69.1917503809838,69.8340147406081
UH_P089,Deb12R_block_1,33,5,69.553958451,33,5,-0.112673384214659,68.4368126371445,68.3241392529298
UH_S020,Deb12R_block_1,19,6,71.0427983458,19,6,1.00703492660922,69.5565209479687,70.5635558745779
Va26,Deb12R_block_1,1,5,65.7698661507,1,5,0.608842079617929,69.1583281009774,69.7671701805954
W64A,Deb12R_block_1,19,5,66.8932531126,19,5,-0.829194626053337,67.720291395306,66.8910967692526
Wf9,Deb12R_block_1,33,3,72.4142076817,33,3,-0.0320994396175109,68.517386581742,68.4852871421245
11430,Deb12R_block_15,41,16,66.8932531126,41,16,-0.152050114923526,68.8340926799288,68.6820425650053
A310,Deb12R_block_15,23,21,66.8932531126,23,21,0.23474239980942,69.2208851946618,69.4556275944712
B106,Deb12R_block_15,23,20,73.3721410878,23,20,0.436765299644833,69.4229080944972,69.859673394142
B110,Deb12R_block_15,23,15,71.0427983458,23,15,-0.584919166362468,68.4012236284899,67.8163044621274
DKFAPW,Deb12R_block_15,9,16,65.7698661507,9,16,-0.344971786514265,68.6411710083381,68.2961992218239
EZ40,Deb12R_block_15,41,19,66.8932531126,41,19,-0.0951302418101108,68.8910125530422,68.7958823112321
F05101,Deb12R_block_15,41,21,65.7698661507,41,21,-0.201952160482705,68.7841906343696,68.5822384738869
F7081,Deb12R_block_15,41,18,66.8932531126,41,18,-1.46202714769633,67.524115647156,66.0620884994597
F874,Deb12R_block_15,9,17,65.7698661507,9,17,-1.37107448869533,67.6150683061571,66.2439938174618
F888,Deb12R_block_15,23,17,66.8932531126,23,17,-0.874743251260981,68.1113995435914,67.2366562923305
HMV5347,Deb12R_block_15,23,16,65.7698661507,23,16,-0.340323372583839,68.6458194222685,68.3054960496847
LAN496,Deb12R_block_15,9,18,72.4142076817,9,18,1.60787560351227,70.5940183983644,72.2018940018767
LH82,Deb12R_block_15,9,21,64.6744337149,9,21,-0.529262425749394,68.4568803691029,67.9276179433535
Lo1035,Deb12R_block_15,41,15,73.3721410878,41,15,0.106648152570287,69.0927909474226,69.1994390999928
Lo1095,Deb12R_block_15,9,15,74.7259909955,9,15,1.18201808710359,70.1681608819559,71.3501789690594
Lo1199,Deb12R_block_15,41,17,73.3721410878,41,17,2.09096434183664,71.0771071366888,73.1680714785255
Oh40B,Deb12R_block_15,9,19,66.8932531126,9,19,0.184622053495957,69.1707648483483,69.3553869018442
PHG35,Deb12R_block_15,41,20,73.3721410878,41,20,0.462080391519947,69.4482231863722,69.9103035778922
W117,Deb12R_block_15,23,19,65.7698661507,23,19,-0.582454985848884,68.4036878090035,67.8212328231546
Wf9,Deb12R_block_15,9,20,72.4142076817,9,20,0.233192812436457,69.2193356072888,69.4525284197252
11430,Gai13R_block_2,54,12,78.3268313656,54,12,-0.364138915481306,81.6413040065086,81.2771650910273
A375,Gai13R_block_2,53,3,81.197629786,53,3,-1.07333664820335,80.9321062737865,79.8587696255832
B89,Gai13R_block_2,57,3,82.6769095268,57,3,-1.30154269427415,80.7039002277158,79.4023575334416
DE811,Gai13R_block_2,54,3,90.7357803826,54,3,2.24521548126747,84.250658403257,86.4958738845245
EC140,Gai13R_block_2,56,12,78.3268313656,56,12,-1.37977557895358,80.6256673430364,79.2458917640829
EC242C,Gai13R_block_2,51,3,81.197629786,51,3,-0.0364833502757449,81.9689595717141,81.9324762214384
EZ47,Gai13R_block_2,54,21,85.7952931765,54,21,-0.196570481374067,81.8088724406158,81.6123019592417
F354,Gai13R_block_2,55,12,78.3268313656,55,12,0.500324385656953,82.5057673076467,83.0060916933036
F7019,Gai13R_block_2,55,21,78.3268313656,55,21,-3.02238511882493,78.9830578031652,75.9606726843403
F7028,Gai13R_block_2,51,21,79.742995425,51,21,-1.77606614401422,80.2293767779758,78.4533106339616
FP1,Gai13R_block_2,53,21,81.197629786,53,21,-1.3532448812021,80.6521980407879,79.2989531595858
LAN496,Gai13R_block_2,55,3,85.7952931765,55,3,0.595470072642371,82.600912994632,83.1963830672744
N16,Gai13R_block_2,52,21,93.6771816155,52,21,3.70210968244017,85.7075526044295,89.4096622868697
N6,Gai13R_block_2,52,3,82.6769095268,52,3,-1.1305170437462,80.8749258782437,79.7444088344975
NK807,Gai13R_block_2,53,12,78.3268313656,53,12,0.932195246718692,82.9376381687085,83.8698334154272
Os426,Gai13R_block_2,57,21,85.7952931765,57,21,-0.0101015739689387,81.9953413480208,81.9852397740518
Pa91,Gai13R_block_2,56,21,94.6935498069,56,21,3.21077002140011,85.2162129433895,88.4269829647896
PB98TR,Gai13R_block_2,56,3,90.7357803826,56,3,1.25570568704592,83.2611486090356,84.5168542960816
UH_P064,Gai13R_block_2,52,12,78.3268313656,52,12,-0.058431631732546,81.9470112902573,81.8885796585247
UH_P104,Gai13R_block_2,57,12,76.907533587,57,12,-0.739196515121265,81.2662464068686,80.5270498917473
11430,Gai13R_block_15,61,25,78.3268313656,61,25,-1.11594650904475,82.9145306897337,81.7985841806889
B73,Gai13R_block_15,58,25,82.6769095268,58,25,0.60510875050791,84.6355859492866,85.2406946997945
B84,Gai13R_block_15,59,7,90.7357803826,59,7,1.54167528441245,85.572152483191,87.1138277676035
EC175,Gai13R_block_15,61,7,82.6769095268,61,7,-1.2777623175897,82.7527148811887,81.474952563599
F05404,Gai13R_block_15,62,25,79.742995425,62,25,-0.463824506383872,83.5666526923947,83.1028281860108
F1808,Gai13R_block_15,60,16,81.197629786,60,16,-2.06551960252125,81.9649575962571,79.8994379937358
F1890,Gai13R_block_15,60,25,79.742995425,60,25,-0.327385249518159,83.7030919492605,83.3757066997423
F838,Gai13R_block_15,59,16,87.5082865147,59,16,0.648192643935118,84.6786698427138,85.3268624866489
FP1,Gai13R_block_15,63,16,84.2066964446,63,16,0.227646593747224,84.2581237925256,84.4857703862728
FR19,Gai13R_block_15,64,7,84.2066964446,64,7,0.125403225692821,84.1558804244714,84.2812836501643
LH65,Gai13R_block_15,62,7,89.1385341643,62,7,2.20715819343471,86.2376353922135,88.4447935856482
Lo1016,Gai13R_block_15,61,16,92.4523959858,61,16,3.2821743658879,87.3126515646667,90.5948259305546
Lo1094,Gai13R_block_15,60,7,85.7952931765,60,7,0.0533295781214775,84.0838067769,84.1371363550215
Lo1203,Gai13R_block_15,64,16,84.2066964446,64,16,0.410100177154831,84.4405773759335,84.8506775530883
N22,Gai13R_block_15,58,16,84.2066964446,58,16,-0.72554600208295,83.3049311966955,82.5793851946126
PHG35,Gai13R_block_15,62,16,85.7952931765,62,16,0.134235501137923,84.1647126999165,84.2989482010544
PHG71,Gai13R_block_15,63,25,78.3268313656,63,25,-0.841377819807917,83.1890993789707,82.3477215591627
PHW65,Gai13R_block_15,58,7,85.7952931765,58,7,-1.07628062226776,82.9541965765108,81.877915954243
PHZ51,Gai13R_block_15,64,25,82.6769095268,64,25,0.725457473748463,84.7559346725269,85.4813921462754
UH_P104,Gai13R_block_15,63,7,78.3268313656,63,7,-2.52916518043352,81.5013120183449,78.9721468379113
W602S,Gai13R_block_15,59,25,82.6769095268,59,25,0.462326021868904,84.4928032206476,84.9551292425165
11430,Gai13R_block_29,73,3,82.6769095268,73,3,-0.128292090002802,83.9920778716038,83.863785781601
DE811,Gai13R_block_29,78,12,89.1385341643,78,12,0.331880383889086,84.452250345496,84.7841307293851
DK78010,Gai13R_block_29,77,21,79.742995425,77,21,-0.197372544813931,83.9229974167927,83.7256248719787
EA1027,Gai13R_block_29,78,21,82.6769095268,78,21,0.0398551007050116,84.1602250623117,84.2000801630167
EC232,Gai13R_block_29,72,21,81.197629786,72,21,-0.0745169341632419,84.0458530274434,83.9713360932801
EC242C,Gai13R_block_29,75,21,76.907533587,75,21,-0.809853260500532,83.3105167011056,82.5006634406051
EP52,Gai13R_block_29,76,3,82.6769095268,76,3,0.0479369582009497,84.1683069198077,84.2162438780087
EZ18,Gai13R_block_29,75,12,90.7357803826,75,12,0.234855234846279,84.3552251964531,84.5900804312994
EZ47,Gai13R_block_29,77,3,82.6769095268,77,3,-0.117211030873662,84.0031589307329,83.8859478998593
F608,Gai13R_block_29,73,12,79.742995425,73,12,-0.172647728807434,83.9477222327991,83.7750745039917
F888,Gai13R_block_29,74,3,82.6769095268,74,3,0.0751771340277969,84.1955470956345,84.2707242296623
HMV5325,Gai13R_block_29,75,3,81.197629786,75,3,-0.0371618893776287,84.0832080722291,84.0460461828515
HMV5347,Gai13R_block_29,76,21,78.3268313656,76,21,0.249862374453841,84.3702323360606,84.6200947105145
Lo1056,Gai13R_block_29,74,21,90.7357803826,74,21,0.795690029388268,84.9160599909955,85.7117500203837
Lo1242,Gai13R_block_29,77,12,85.7952931765,77,12,-0.269023225357444,83.851346736249,83.5823235108916
Lo1288,Gai13R_block_29,76,12,89.1385341643,76,12,0.0414058953587642,84.1617758569654,84.2031817523242
MS153,Gai13R_block_29,78,3,81.197629786,78,3,-0.0338749090983299,84.0864950525084,84.05262014341
NS701,Gai13R_block_29,74,12,82.6769095268,74,12,0.0151263993769106,84.1354963609837,84.1506227603606
PHG84,Gai13R_block_29,73,21,89.1385341643,73,21,-0.100517921484766,84.0198520401218,83.9193341186371
PHT77,Gai13R_block_29,72,3,82.6769095268,72,3,0.096572670708241,84.2169426323151,84.3135153030233
PHZ51,Gai13R_block_29,72,12,85.7952931765,72,12,0.012109353524437,84.1324793151312,84.1445886686556
11430,Ner13R_block_32,9,53,83.1617567537,9,53,-0.229077039195118,83.2739701629422,83.0448931237471
DKFBHJ,Ner13R_block_32,1,55,78.5569075375,1,55,-0.544119946001146,82.9589272561361,82.414807310135
EP51,Ner13R_block_32,5,52,83.1617567537,5,52,0.00174567042427043,83.5047928725616,83.5065385429858
F1808,Ner13R_block_32,1,54,78.5569075375,1,54,-2.20649277357343,81.296554428564,79.0900616549905
F712,Ner13R_block_32,9,54,86.2172922004,9,54,1.93984957113686,85.442896773274,87.3827463444109
H99,Ner13R_block_32,1,51,79.8672955003,1,51,1.94081488012894,85.4438620822661,87.3846769623951
I267,Ner13R_block_32,9,56,83.1617567537,9,56,0.0116290532877201,83.514676255425,83.5263053087128
IDT,Ner13R_block_32,5,56,91.4580475666,5,56,0.271686549738604,83.7747337518759,84.0464203016145
Lo1094,Ner13R_block_32,5,55,88.8632833391,5,55,0.987204603311227,84.4902518054484,85.4774564087597
Lo1203,Ner13R_block_32,5,50,86.2172922004,5,50,0.550401264798396,84.0534484669356,84.603849731734
Lo1266,Ner13R_block_32,5,54,91.4580475666,5,54,1.02694050872604,84.5299877108633,85.5569282195893
