Genotype,Envir,Row,Column,anthesis,R,C,anthesis_spats_residuals,anthesis_spats_geno_pred_values,anthesis_spats_adj_pheno
11430,Gai12R_block_7,2,18,64.7849117529,2,18,-0.017991603033721,68.4264088676454,68.4084172646117
B73,Gai12R_block_7,11,16,69.1907382303,11,16,0.183180433901398,68.6275809045805,68.8107613384819
C103,Gai12R_block_7,20,18,74.9190642556,20,18,2.10219273449643,70.5465932051756,72.648785939672
EZ11A,Gai12R_block_7,20,19,67.0282656168,20,19,-1.62729935182752,66.8171011188516,65.189801767024
EZ36,Gai12R_block_7,20,21,68.1234868243,20,21,-1.13612388869943,67.3082765819797,66.1721526932803
F04402,Gai12R_block_7,11,21,63.3048330487,11,21,-1.82518570454518,66.6192147661339,64.7940290615887
F04702,Gai12R_block_7,2,15,70.3468421086,2,15,1.44653746160323,69.8909379322825,71.3374753938857
HMV5347,Gai12R_block_7,11,15,63.3048330487,11,15,-2.40838047673818,66.0360199939409,63.6276395172027
LH145,Gai12R_block_7,2,19,63.3048330487,2,19,-0.679820471816029,67.7645799988631,67.0847595270471
LH38,Gai12R_block_7,2,20,63.3048330487,2,20,-1.05195158150929,67.3924488891699,66.3404973076606
LH60,Gai12R_block_7,2,17,69.1907382303,2,17,1.87932297940878,70.3237234500879,72.2030464294967
LH65,Gai12R_block_7,20,17,73.2949949091,20,17,1.14235428792384,69.5867547586029,70.7291090465268
Lo1123,Gai12R_block_7,20,16,68.1234868243,20,16,-1.52980130540765,66.9145991652715,65.3847978598639
Lo1284,Gai12R_block_7,11,19,69.1907382303,11,19,-0.067267409961886,68.3771330607173,68.3098656507554
Lo1301,Gai12R_block_7,2,21,69.1907382303,2,21,1.17937895841509,69.6237794290942,70.8031583875093
PB98TR,Gai12R_block_7,11,18,70.3468421086,11,18,0.460962468792957,68.9053629394722,69.3663254082651
PHG86,Gai12R_block_7,20,15,73.2949949091,20,15,0.820999465103583,69.2653999357827,70.0863994008863
PHK76,Gai12R_block_7,11,20,71.7553055814,11,20,1.61137436433467,70.0557748350138,71.6671491993485
PHV63,Gai12R_block_7,11,17,68.1234868243,11,17,-0.540930843708253,67.9034696269709,67.3625387832626
PHW65,Gai12R_block_7,20,20,73.2949949091,20,20,1.52080164237371,69.9652021130529,71.4860037554266
UH_P115,Gai12R_block_7,2,16,63.3048330487,2,16,-1.46235215910554,66.9820483115735,65.519696152468
11430,Gai12R_block_36,18,27,63.3048330487,18,27,-1.10287440836901,64.9119645416932,63.8090901333241
B84,Gai12R_block_36,18,26,69.1907382303,18,26,1.09487103777536,67.109709987837,68.2045810256124
DE811,Gai12R_block_36,9,27,70.3468421086,9,27,0.495478198221392,66.5103171482831,67.0057953465045
EA1163,Gai12R_block_36,18,25,62.0608834049,18,25,-0.486263206076792,65.5285757439852,65.0423125379084
EP51,Gai12R_block_36,27,25,63.3048330487,27,25,-0.308056844859898,65.7067821052021,65.3987252603422
F04701,Gai12R_block_36,27,28,67.0282656168,27,28,0.116509137302273,66.1313480873641,66.2478572246664
F7058,Gai12R_block_36,18,24,63.3048330487,18,24,-0.841619433861375,65.1732195162007,64.3316000823393
F7082,Gai12R_block_36,9,26,71.7553055814,9,26,0.139069809595995,66.1539087596578,66.2929785692538
F838,Gai12R_block_36,27,24,70.3468421086,27,24,0.527601220638289,66.5424401707,67.0700413913383
I242,Gai12R_block_36,18,23,70.3468421086,18,23,1.28085477909104,67.2956937291526,68.5765485082437
Lo1087,Gai12R_block_36,9,23,63.3048330487,9,23,-0.519091217114095,65.4957477329479,64.9766565158338
Lo1094,Gai12R_block_36,27,27,67.0282656168,27,27,0.779683905371016,66.7945228554327,67.5742067608037
Lo1223,Gai12R_block_36,27,23,73.2949949091,27,23,0.166342148661442,66.1811810987233,66.3475232473847
Lp5,Gai12R_block_36,9,22,63.3048330487,9,22,0.200356822649198,66.2151957727111,66.4155525953603
N192,Gai12R_block_36,18,28,63.3048330487,18,28,-0.448009413499157,65.5668295365628,65.1188201230637
NQ508,Gai12R_block_36,9,28,65.9788172736,9,28,0.0258006893450187,66.0406396394069,66.0664403287519
UH_P060,Gai12R_block_36,18,22,63.3048330487,18,22,-0.418014618004783,65.5968243320572,65.1788097140524
UH_P064,Gai12R_block_36,27,26,64.7849117529,27,26,-0.513197341681462,65.5016416083805,64.9884442666991
UH_P089,Gai12R_block_36,9,24,63.3048330487,9,24,0.184064095470944,66.1989030455328,66.3829671410037
W182E,Gai12R_block_36,9,25,64.7849117529,9,25,-0.0651507666956519,65.9496881833663,65.8845374166706
W602S,Gai12R_block_36,27,22,65.9788172736,27,22,-0.308354593958939,65.706484356103,65.3981297621441
11430,Gai12R_block_32,26,25,64.7849117529,26,25,-0.239914862131513,66.7108315754647,66.4709167133332
B100,Gai12R_block_32,8,28,64.7849117529,8,28,-0.701157627736848,66.2495888098595,65.5484311821226
CO109,Gai12R_block_32,26,22,65.9788172736,26,22,-0.456965209990756,66.4937812276055,66.0368160176147
DK78371A,Gai12R_block_32,17,25,69.1907382303,17,25,0.547971116873995,67.4987175544701,68.0466886713441
EP72,Gai12R_block_32,26,26,67.0282656168,26,26,0.120733791888938,67.0714802294851,67.192214021374
EZ42,Gai12R_block_32,17,24,68.1234868243,17,24,-0.596205963702715,66.3545404738936,65.7583345101909
EZ48,Gai12R_block_32,8,24,71.7553055814,8,24,1.36136500232361,68.3121114399197,69.6734764422433
F252,Gai12R_block_32,17,23,68.1234868243,17,23,0.394192730291081,67.3449391678872,67.7391318981783
F353,Gai12R_block_32,17,28,62.0608834049,17,28,-0.926290724096454,66.0244557134999,65.0981649894034
F7028,Gai12R_block_32,26,28,64.7849117529,26,28,0.293535253602187,67.2442816911984,67.5378169448006
I267,Gai12R_block_32,8,22,73.2949949091,8,22,2.03062277760289,68.9813692151989,71.0119919928018
IDT,Gai12R_block_32,26,23,67.0282656168,26,23,0.536220335511999,67.4869667731081,68.0231871086201
Lo1270,Gai12R_block_32,17,26,71.7553055814,17,26,1.39189007514446,68.3426365127405,69.734526587885
Lo1282,Gai12R_block_32,8,26,71.7553055814,8,26,1.41988857696099,68.370635014557,69.790523591518
MS71,Gai12R_block_32,8,23,63.3048330487,8,23,-2.41574696227723,64.5349994753194,62.1192525130422
NQ508,Gai12R_block_32,26,24,69.1907382303,26,24,1.14242265537175,68.0931690929679,69.2355917483396
PHG84,Gai12R_block_32,17,22,63.3048330487,17,22,-1.6943320415021,65.2564143960943,63.5620823545922
PHG86,Gai12R_block_32,8,27,70.3468421086,8,27,1.48363289466926,68.4343793322653,69.9180122269345
PHJ40,Gai12R_block_32,26,27,64.7849117529,26,27,-0.247714891880506,66.7030315457157,66.4553166538352
UH_P060,Gai12R_block_32,8,25,63.3048330487,8,25,-2.03028758917058,64.9204588484259,62.8901712592553
UH_P089,Gai12R_block_32,17,27,63.3048330487,17,27,-1.4138593377529,65.5368870998435,64.1230277620906
11430,Ner12R_block_35,12,9,67.1130688606,12,9,-0.720184935462768,68.4341614554066,67.7139765199439
A374,Ner12R_block_35,36,10,68.7503943227,36,10,-0.19751881727808,68.9568275735916,68.7593087563135
B113,Ner12R_block_35,24,8,68.7503943227,24,8,-0.0990933674343211,69.0552530234353,68.9561596560009
F04702,Ner12R_block_35,12,13,70.1020957105,12,13,-0.24815984597987,68.9061865448897,68.6580266989098
F05404,Ner12R_block_35,36,13,68.7503943227,36,13,0.171081781665862,69.3254281725355,69.4965099542014
F752,Ner12R_block_35,24,10,70.1020957105,24,10,0.195243088280719,69.3495894791504,69.5448325674311
F98902,Ner12R_block_35,24,12,68.7503943227,24,12,-0.277080372968655,68.8772660179009,68.6001856449323
LH145,Ner12R_block_35,12,8,68.7503943227,12,8,0.275474641570895,69.4298210324405,69.7052956740113
LH38,Ner12R_block_35,12,12,70.1020957105,12,12,-0.0476591501105617,69.106687240759,69.0590280906485
LH60,Ner12R_block_35,12,14,71.3778600686,12,14,0.302525360816006,69.4568717516856,69.7593971125016
Lo1016,Ner12R_block_35,24,9,68.7503943227,24,9,-0.027515125423335,69.1268312654463,69.0993161400229
Lo1280,Ner12R_block_35,24,14,68.7503943227,24,14,-0.346257809024863,68.8080885818447,68.4618307728198
Lo1301,Ner12R_block_35,12,10,71.3778600686,12,10,0.689418146600275,69.84376453747,70.5331826840703
N22,Ner12R_block_35,36,9,70.1020957105,36,9,0.533661062059053,69.6880074529287,70.2216685149878
N6,Ner12R_block_35,36,12,68.7503943227,36,12,0.306355413607278,69.4607018044769,69.7670572180841
NC290,Ner12R_block_35,24,13,70.1020957105,24,13,0.291268227596817,69.4456146184665,69.7368828460633
NC358,Ner12R_block_35,36,14,68.7503943227,36,14,0.169803123297044,69.3241495141666,69.4939526374637
PHJ40,Ner12R_block_35,36,11,65.5501162279,36,11,-0.924262039269209,68.2300843516003,67.3058223123311
UH_P115,Ner12R_block_35,12,11,68.7503943227,12,11,-0.192293693351886,68.9620526975176,68.7697590041657
Wf9,Ner12R_block_35,24,11,68.7503943227,24,11,0.145194310809501,69.2995407016791,69.4447350124886
11430,Ner12R_block_6,14,20,68.7503943227,14,20,-0.923782944332018,68.8071035072137,67.8833205628817
EC169,Ner12R_block_6,2,16,68.7503943227,2,16,-0.0405584515075645,69.6903280000381,69.6497695485305
EC242C,Ner12R_block_6,26,21,64.1249962123,26,21,-1.94683004457572,67.7840564069701,65.8372263623944
EP51,Ner12R_block_6,26,18,65.5501162279,26,18,-1.2887271725882,68.4421592789574,67.1534321063692
EP55,Ner12R_block_6,2,15,68.7503943227,2,15,-0.263779179158689,69.4671072723871,69.2033280932284
EZ18,Ner12R_block_6,14,21,74.2429872652,14,21,1.7734445645462,71.5043310160918,73.277775580638
F218,Ner12R_block_6,2,20,64.1249962123,2,20,-2.18792807831579,67.5429583732299,65.3550302949141
F354,Ner12R_block_6,14,18,68.7503943227,14,18,-0.976428511193134,68.7544579403526,67.7780294291595
F894,Ner12R_block_6,14,19,72.7618835003,14,19,0.615189228954279,70.3460756804999,70.9612649094542
F924,Ner12R_block_6,26,19,71.3778600686,26,19,1.2278182661308,70.9587047176765,72.1865229838073
Lo1035,Ner12R_block_6,26,20,71.3778600686,26,20,1.71156390511068,71.4424503566563,73.154014261767
Lo1203,Ner12R_block_6,26,15,71.3778600686,26,15,1.15462387003687,70.8855103215825,72.0401341916194
NS701,Ner12R_block_6,14,16,71.3778600686,14,16,0.157124924528105,69.8880113760738,70.0451363006019
Oh43,Ner12R_block_6,2,21,68.7503943227,2,21,0.0591162663856437,69.7900027179313,69.849118984317
Os426,Ner12R_block_6,14,15,71.3778600686,14,15,-0.0830008260466144,69.647885625499,69.5648847994524
PHG39,Ner12R_block_6,2,19,72.7618835003,2,19,1.68044080527147,71.4113272568172,73.0917680620887
PHG50,Ner12R_block_6,2,18,68.7503943227,2,18,0.105692699303745,69.8365791508494,69.9422718501532
PHZ51,Ner12R_block_6,14,17,72.7618835003,14,17,0.731485439585399,70.462371891131,71.1938573307164
UH_P087,Ner12R_block_6,26,16,65.5501162279,26,16,-1.50233879363591,68.2285476579098,66.7262088642739
UH_P089,Ner12R_block_6,26,17,68.7503943227,26,17,-0.00312596849951774,69.7277604830462,69.7246345145467
11430,Ner12R_block_29,34,12,68.7503943227,34,12,-0.220796199671639,69.1071987794412,68.8864025797695
A375,Ner12R_block_29,10,11,68.7503943227,10,11,-0.453362663467729,68.8746323156452,68.4212696521774
B100,Ner12R_block_29,34,11,68.7503943227,34,11,-0.123094595596896,69.204900383516,69.0818057879191
B106,Ner12R_block_29,34,8,68.7503943227,34,8,0.235505079733713,69.5635000588468,69.7990051385805
B73,Ner12R_block_29,22,11,70.1020957105,22,11,0.387621850525449,69.7156168296384,70.1032386801639
EC232,Ner12R_block_29,22,10,67.1130688606,22,10,-1.0567327163949,68.2712622627179,67.214529546323
F05404,Ner12R_block_29,10,13,70.1020957105,10,13,0.233165245652032,69.5611602247649,69.7943254704169
F353,Ner12R_block_29,22,13,67.1130688606,22,13,-1.19270521345514,68.1352897656576,66.9425845522025
F618,Ner12R_block_29,34,10,68.7503943227,34,10,-0.00367536016834436,69.3243196189446,69.3206442587763
F888,Ner12R_block_29,22,8,68.7503943227,22,8,-0.164740734774981,69.1632542443379,68.9985135095629
I233,Ner12R_block_29,34,13,72.7618835003,34,13,1.70034592326861,71.0283409023816,72.7286868256503
Lo1016,Ner12R_block_29,10,8,70.1020957105,10,8,0.110861814905633,69.4388567940185,69.5497186089241
Lo1035,Ner12R_block_29,22,14,71.3778600686,22,14,0.900514026137174,70.2285090052502,71.1290230313874
Lo1284,Ner12R_block_29,22,9,68.7503943227,22,9,-0.211910059852769,69.1160849192601,68.9041748594073
Mo15W,Ner12R_block_29,10,9,74.2429872652,10,9,2.21845361725187,71.546448596365,73.7649022136168
NK807,Ner12R_block_29,34,14,67.1130688606,34,14,-1.19556862619618,68.1324263529166,66.9368577267205
PB116,Ner12R_block_29,10,14,70.1020957105,10,14,0.226321138365876,69.5543161174788,69.7806372558447
PB98TR,Ner12R_block_29,22,12,70.1020957105,22,12,0.344478113245899,69.6724730923588,70.0169512056047
PHR36,Ner12R_block_29,34,9,68.7503943227,34,9,0.104021145915638,69.4320161250284,69.5360372709441
UH_S018,Ner12R_block_29,10,12,70.1020957105,10,12,0.233902292405318,69.5618972715182,69.7957995639235
UH250,Ner12R_block_29,10,10,65.5501162279,10,10,-2.07260407782917,67.2553909012837,65.1827868234545
11430,Deb12R_block_27,13,21,69.553958451,13,21,-0.318797488589482,67.595860522639,67.2770630340495
DK78371A,Deb12R_block_27,29,21,71.0427983458,29,21,1.77684398298385,69.6915019942127,71.4683459771966
EZ36,Deb12R_block_27,47,17,73.3721410878,47,17,0.626761505589599,68.5414195168182,69.1681810224078
F04702,Deb12R_block_27,13,19,65.7698661507,13,19,0.0698676091378587,67.9845256203665,68.0543932295043
F05101,Deb12R_block_27,29,16,69.553958451,29,16,-0.329362164867902,67.5852958463606,67.2559336814927
I261,Deb12R_block_27,47,15,72.4142076817,47,15,-0.600139989948445,67.31451802128,66.7143780313316
LAN496,Deb12R_block_27,29,17,71.0427983458,29,17,0.49277893386089,68.4074369450894,68.9002158789503
LH145,Deb12R_block_27,13,15,63.4177441029,13,15,-0.675818536840083,67.2388394743883,66.5630209375482
LH38,Deb12R_block_27,13,18,68.1215767585,13,18,0.630869549909676,68.5455275611383,69.176397111048
LH60,Deb12R_block_27,13,17,69.553958451,13,17,0.693037548028897,68.6076955592575,69.3007331072864
LH82,Deb12R_block_27,47,20,63.4177441029,47,20,0.151788944596824,68.0664469558254,68.2182359004222
Lo1101,Deb12R_block_27,29,18,69.553958451,29,18,0.979391467700751,68.8940494789295,69.8734409466302
Lo1301,Deb12R_block_27,13,16,65.7698661507,13,16,-0.698197620381947,67.2164603908466,66.5182627704646
N22,Deb12R_block_27,29,15,71.0427983458,29,15,1.03374690266875,68.9484049138974,69.9821518165661
NDB8,Deb12R_block_27,29,19,63.4177441029,29,19,-0.898202995694177,67.0164550155343,66.1182520198401
NS701,Deb12R_block_27,47,19,66.8932531126,47,19,1.10313580952511,69.0177938207538,70.1209296302789
Pa91,Deb12R_block_27,47,16,74.7259909955,47,16,0.580812798156487,68.4954708093851,69.0762836075416
UH_P074,Deb12R_block_27,29,20,63.4177441029,29,20,-0.762448368785442,67.1522096424431,66.3897612736577
UH_P115,Deb12R_block_27,13,20,64.6744337149,13,20,-0.914768697782733,66.9998893134456,66.0851206156629
UH_S025,Deb12R_block_27,47,18,63.4177441029,47,18,-2.47275434884388,65.4419036623843,62.9691493135405
UH250,Deb12R_block_27,47,21,63.4177441029,47,21,-0.468544840425231,67.4461131708032,66.977568330378
11430,Deb12R_block_1,19,2,63.4177441029,19,2,-0.219348291440028,65.7622728972885,65.5429246058485
B106,Deb12R_block_1,1,1,66.8932531126,1,1,-0.136408765703848,65.8452124230247,65.7088036573209
B89,Deb12R_block_1,1,4,63.4177441029,1,4,0.0183664797538228,65.9999876684823,66.0183541482362
CR1Ht,Deb12R_block_1,1,2,61.9808015947,1,2,-0.818425669826205,65.1631955189023,64.3447698490761
DK4676A,Deb12R_block_1,33,4,64.6744337149,33,4,-0.82252855300051,65.1590926357279,64.3365640827274
F04401,Deb12R_block_1,33,2,64.6744337149,33,2,0.212727044842808,66.1943482335714,66.4070752784142
F354,Deb12R_block_1,19,7,63.4177441029,19,7,-1.15903186924014,64.8225893194883,63.6635574502481
F7001,Deb12R_block_1,33,6,68.1215767585,33,6,-0.383262588786423,65.5983585999421,65.2150960111557
F7057,Deb12R_block_1,19,1,66.8932531126,19,1,0.326717439937767,66.3083386286664,66.6350560686042
F7058,Deb12R_block_1,1,6,61.9808015947,1,6,-0.754507217391705,65.2271139713368,64.4726067539451
LH60,Deb12R_block_1,33,7,71.0427983458,33,7,0.809474626938183,66.7910958156669,67.6005704426051
Lo1056,Deb12R_block_1,1,3,69.553958451,1,3,0.882974608365174,66.864595797094,67.7475704054592
NK764,Deb12R_block_1,1,7,63.4177441029,1,7,0.32203026167015,66.3036514503988,66.6256817120689
P465P,Deb12R_block_1,19,3,69.553958451,19,3,0.182320228932923,66.1639414176615,66.3462616465944
PB116,Deb12R_block_1,19,4,66.8932531126,19,4,0.510750098900729,66.4923712876293,67.00312138653
UH_P089,Deb12R_block_1,33,5,66.8932531126,33,5,0.00184598622385579,65.9834671749524,65.9853131611762
UH_S020,Deb12R_block_1,19,6,69.553958451,19,6,1.31393705094241,67.2955582396713,68.6094952906137
Va26,Deb12R_block_1,1,5,63.4177441029,1,5,0.343774896252526,66.3253960849812,66.6691709812337
W64A,Deb12R_block_1,19,5,64.6744337149,19,5,-0.630326585163033,65.3512946035654,64.7209680184023
Wf9,Deb12R_block_1,33,3,69.553958451,33,3,-0.00107918220678016,65.9805420065218,65.979462824315
11430,Deb12R_block_15,41,16,64.6744337149,41,16,-0.270521333223144,66.2209220818186,65.9504007485955
A310,Deb12R_block_15,23,21,64.6744337149,23,21,-0.0719779498140554,66.4194654652277,66.3474875154137
B106,Deb12R_block_15,23,20,71.0427983458,23,20,0.600183720941573,67.0916271359834,67.6918108569249
B110,Deb12R_block_15,23,15,68.1215767585,23,15,-0.552297982830595,65.9391454322112,65.3868474493806
DKFAPW,Deb12R_block_15,9,16,63.4177441029,9,16,-0.336529266772239,66.1549141482696,65.8183848814973
EZ40,Deb12R_block_15,41,19,64.6744337149,41,19,-0.144019747771367,66.3474236672705,66.2034039194991
F05101,Deb12R_block_15,41,21,63.4177441029,41,21,-0.395503291135078,66.0959401239067,65.7004368327716
F7081,Deb12R_block_15,41,18,64.6744337149,41,18,-1.1362665785783,65.3551768364634,64.2189102578852
F874,Deb12R_block_15,9,17,63.4177441029,9,17,-1.31812746053771,65.1733159545041,63.8551884939664
F888,Deb12R_block_15,23,17,64.6744337149,23,17,-0.737296975636653,65.7541464394051,65.0168494637685
HMV5347,Deb12R_block_15,23,16,63.4177441029,23,16,-0.200509917779378,66.2909334972624,66.090423579483
LAN496,Deb12R_block_15,9,18,68.1215767585,9,18,1.11543907126675,67.6068824863085,68.7223215575753
LH82,Deb12R_block_15,9,21,63.4177441029,9,21,0.0813240333457657,66.5727674483876,66.6540914817333
Lo1035,Deb12R_block_15,41,15,71.0427983458,41,15,0.00932241325523364,66.500765828297,66.5100882415523
Lo1095,Deb12R_block_15,9,15,72.4142076817,9,15,1.27446415462043,67.7659075696622,69.0403717242826
Lo1199,Deb12R_block_15,41,17,71.0427983458,41,17,1.94916368671544,68.4406071017572,70.3897707884726
Oh40B,Deb12R_block_15,9,19,64.6744337149,9,19,0.36701222607185,66.8584556411136,67.2254678671855
PHG35,Deb12R_block_15,41,20,71.0427983458,41,20,0.70436776792738,67.1958111829691,67.9001789508965
W117,Deb12R_block_15,23,19,63.4177441029,23,19,-0.675913277028258,65.8155301380135,65.1396168609853
Wf9,Deb12R_block_15,9,20,68.1215767585,9,20,-0.262313293036613,66.2291301220052,65.9668168289685
11430,Gai13R_block_2,54,12,76.907533587,54,12,-0.110516157273139,79.0166708049726,78.9061546476994
A375,Gai13R_block_2,53,3,78.3268313656,53,3,-1.06781439067964,78.0593725715661,76.9915581808864
B89,Gai13R_block_2,57,3,76.907533587,57,3,-1.48420635630278,77.6429806059428,76.1587742496401
DE811,Gai13R_block_2,54,3,85.7952931765,54,3,1.55607739711628,80.683264359362,82.2393417564783
EC140,Gai13R_block_2,56,12,76.907533587,56,12,-0.853216138628937,78.2739708236167,77.4207546849878
EC242C,Gai13R_block_2,51,3,79.742995425,51,3,0.383939921964512,79.5111268842102,79.8950668061747
EZ47,Gai13R_block_2,54,21,81.197629786,54,21,0.129453270489321,79.2566402327351,79.3860935032244
F354,Gai13R_block_2,55,12,76.907533587,55,12,0.134303554261393,79.2614905165071,79.3957940707685
F7019,Gai13R_block_2,55,21,76.907533587,55,21,-1.84202840259164,77.285158559654,75.4431301570623
F7028,Gai13R_block_2,51,21,76.907533587,51,21,-1.57834230488575,77.5488446573599,75.9705023524741
FP1,Gai13R_block_2,53,21,76.907533587,53,21,-1.40863435288266,77.718552609363,76.3099182564803
LAN496,Gai13R_block_2,55,3,84.2066964446,55,3,1.07785202781554,80.2050389900612,81.2828910178768
N16,Gai13R_block_2,52,21,87.5082865147,52,21,3.14394268838633,82.2711296506321,85.4150723390184
N6,Gai13R_block_2,52,3,78.3268313656,52,3,-1.20323905541228,77.9239479068334,76.7207088514211
NK807,Gai13R_block_2,53,12,76.907533587,53,12,0.748133639617635,79.8753206018634,80.623454241481
Os426,Gai13R_block_2,57,21,81.197629786,57,21,-0.702479085630557,78.4247078766151,77.7222287909845
Pa91,Gai13R_block_2,56,21,89.1385341643,56,21,2.84564031283013,81.9728272750758,84.818467587906
PB98TR,Gai13R_block_2,56,3,85.7952931765,56,3,1.3249425812137,80.4521295434594,81.7770721246731
UH_P064,Gai13R_block_2,52,12,75.3318871563,52,12,-0.481301619389129,78.6458853428565,78.1645837234674
UH_P104,Gai13R_block_2,57,12,75.3318871563,57,12,-0.612507530017993,78.5146794322276,77.9021719022096
11430,Gai13R_block_15,61,25,75.3318871563,61,25,-0.295891335141462,81.0544270439355,80.758535708794
B73,Gai13R_block_15,58,25,76.907533587,58,25,0.307926436553487,81.6582448156304,81.9661712521839
B84,Gai13R_block_15,59,7,85.7952931765,59,7,-0.153885006104673,81.1964333729723,81.0425483668676
EC175,Gai13R_block_15,61,7,76.907533587,61,7,-2.27355977199862,79.0767586070784,76.8031988350797
F05404,Gai13R_block_15,62,25,76.907533587,62,25,-0.636057222232751,80.7142611568442,80.0782039346115
F1808,Gai13R_block_15,60,16,81.197629786,60,16,-1.1299721629984,80.2203462160785,79.0903740530801
F1890,Gai13R_block_15,60,25,76.907533587,60,25,0.3912705210968,81.7415889001737,82.1328594212705
F838,Gai13R_block_15,59,16,85.7952931765,59,16,0.897266152817508,82.2475845318944,83.1448506847119
FP1,Gai13R_block_15,63,16,81.197629786,63,16,0.0260067123330146,81.3763250914099,81.4023318037429
FR19,Gai13R_block_15,64,7,81.197629786,64,7,0.467280379139709,81.8175987582165,82.2848791373562
LH65,Gai13R_block_15,62,7,85.7952931765,62,7,1.95911459515692,83.3094329742338,85.2685475693907
Lo1016,Gai13R_block_15,61,16,85.7952931765,61,16,1.38700611780642,82.7373244968833,84.1243306146898
Lo1094,Gai13R_block_15,60,7,84.2066964446,60,7,0.331428034999561,81.6817464140766,82.0131744490761
Lo1203,Gai13R_block_15,64,16,84.2066964446,64,16,0.741213771651218,82.0915321507281,82.8327459223793
N22,Gai13R_block_15,58,16,81.197629786,58,16,-0.98300913341474,80.3673092456622,79.3843001122474
PHG35,Gai13R_block_15,62,16,84.2066964446,62,16,-0.00129630542991777,81.3490220736469,81.347725768217
PHG71,Gai13R_block_15,63,25,75.3318871563,63,25,-0.710776495156495,80.6395418839203,79.9287653887638
PHW65,Gai13R_block_15,58,7,89.1385341643,58,7,0.803747788106264,82.1540661671832,82.9578139552895
PHZ51,Gai13R_block_15,64,25,81.197629786,64,25,0.408617646879762,81.7589360259568,82.1675536728365
UH_P104,Gai13R_block_15,63,7,75.3318871563,63,7,-1.60273359568252,79.7475847833944,78.1448511877119
W602S,Gai13R_block_15,59,25,76.907533587,59,25,0.0663028716174523,81.4166212506944,81.4829241223119
11430,Gai13R_block_29,73,3,78.3268313656,73,3,-0.714006199948884,80.710910024561,79.9969038246121
DE811,Gai13R_block_29,78,12,85.7952931765,78,12,0.30116647730236,81.7260827018122,82.0272491791146
DK78010,Gai13R_block_29,77,21,76.907533587,77,21,-0.407474248463799,81.0174419760461,80.6099677275823
EA1027,Gai13R_block_29,78,21,81.197629786,78,21,-0.0743828469773433,81.3505333775325,81.2761505305552
EC232,Gai13R_block_29,72,21,76.907533587,72,21,-0.554914414737198,80.8700018097726,80.3150873950354
EC242C,Gai13R_block_29,75,21,75.3318871563,75,21,-1.45828610739265,79.9666301171172,78.5083440097245
EP52,Gai13R_block_29,76,3,81.197629786,76,3,0.697672300485365,82.1225885249953,82.8202608254806
EZ18,Gai13R_block_29,75,12,89.1385341643,75,12,1.17471747848538,82.5996337029953,83.7743511814806
EZ47,Gai13R_block_29,77,3,78.3268313656,77,3,-0.393451683188502,81.0314645413214,80.6380128581329
F608,Gai13R_block_29,73,12,76.907533587,73,12,-0.567105431971754,80.8578107925382,80.2907053605664
F888,Gai13R_block_29,74,3,81.197629786,74,3,0.941585984214043,82.3665022087241,83.3080881929381
HMV5325,Gai13R_block_29,75,3,76.907533587,75,3,-0.69253006814273,80.7323861563671,80.0398560882243
HMV5347,Gai13R_block_29,76,21,76.907533587,76,21,0.317449010652624,81.7423652351625,82.0598142458151
Lo1056,Gai13R_block_29,74,21,89.1385341643,74,21,1.76048259825866,83.1853988227686,84.9458814210273
Lo1242,Gai13R_block_29,77,12,85.7952931765,77,12,0.0205859037182989,81.4455021282282,81.4660880319465
Lo1288,Gai13R_block_29,76,12,85.7952931765,76,12,-0.327892357378857,81.097023867131,80.7691315097521
MS153,Gai13R_block_29,78,3,76.907533587,78,3,-0.313439460223705,81.1114767642861,80.7980373040624
NS701,Gai13R_block_29,74,12,81.197629786,74,12,0.187927433104832,81.6128436576148,81.8007710907196
PHG84,Gai13R_block_29,73,21,85.7952931765,73,21,0.102134995941256,81.5270512204511,81.6291862163924
PHT77,Gai13R_block_29,72,3,81.197629786,72,3,0.159178114085876,81.5840943385959,81.7432724526817
PHZ51,Gai13R_block_29,72,12,81.197629786,72,12,-0.15941747782415,81.2654987466857,81.1060812688615
11430,Ner13R_block_32,9,53,67.8657230313,9,53,-2.00030959123112,71.6428930243992,69.6425834331681
DKFBHJ,Ner13R_block_32,1,55,74.246732055,1,55,0.557974106525762,74.2011767221562,74.759150828682
EP51,Ner13R_block_32,5,52,67.8657230313,5,52,-1.83020875544366,71.8129938601867,69.9827851047431
F1808,Ner13R_block_32,1,54,70.9478960649,1,54,-1.54333010708831,72.0998725085421,70.5565424014538
F712,Ner13R_block_32,9,54,75.7266897951,9,54,1.29664601494204,74.9398486305726,76.2364946455147
H99,Ner13R_block_32,1,51,70.9478960649,1,51,0.918576973945378,74.5617795895759,75.4803565635213
I267,Ner13R_block_32,9,56,77.2214168404,9,56,1.19352201148219,74.8367246271128,76.030246638595
IDT,Ner13R_block_32,5,56,77.2214168404,5,56,-0.52928701907878,73.1139155965517,72.5846285774729
Lo1094,Ner13R_block_32,5,55,77.2214168404,5,55,0.465921958832652,74.1091245744632,74.5750465332958
Lo1203,Ner13R_block_32,5,50,77.2214168404,5,50,0.837816348016645,74.4810189636472,75.3188353116638
Lo1266,Ner13R_block_32,5,54,79.8672955003,5,54,1.39628602138347,75.0394886370141,76.4357746583975
ML606,Ner13R_block_32,1,56,74.246732055,1,56,-0.248692071365639,73.3945105442648,73.1458184728992
