Genotype,Envir,Row,Column,ear.height,R,C,ear.height_spats_residuals,ear.height_spats_geno_pred_values,ear.height_spats_adj_pheno
11430,Gai12R_block_7,2,18,105,2,18,-0.24338183468717,102.207117543143,101.963735708456
B73,Gai12R_block_7,11,16,105,11,16,0.945733944688428,103.396233322519,104.341967267207
C103,Gai12R_block_7,20,18,100,20,18,1.54203019801008,103.99252957584,105.53455977385
EZ11A,Gai12R_block_7,20,19,95,20,19,-1.52139465488543,100.929104722945,99.4077100680594
EZ36,Gai12R_block_7,20,21,110,20,21,4.72836631195769,107.178865689788,111.907232001746
F04402,Gai12R_block_7,11,21,105,11,21,-0.307823006783124,102.142676371047,101.834853364264
F04702,Gai12R_block_7,2,15,105,2,15,-0.572896444588352,101.877602933242,101.304706488653
HMV5347,Gai12R_block_7,11,15,105,11,15,1.17682017890991,103.62731955674,104.80413973565
LH145,Gai12R_block_7,2,19,105,2,19,-0.0930665661897478,102.35743281164,102.264366245451
LH38,Gai12R_block_7,2,20,105,2,20,0.0819767168067216,102.532476094637,102.614452811443
LH60,Gai12R_block_7,2,17,105,2,17,-0.393847561784256,102.056651816046,101.662804254262
LH65,Gai12R_block_7,20,17,105,20,17,4.6056055623846,107.056104940215,111.661710502599
Lo1123,Gai12R_block_7,20,16,90,20,16,-2.23238429294493,100.218115084885,97.9857307919402
Lo1284,Gai12R_block_7,11,19,105,11,19,0.227943684250988,102.678443062081,102.906386746332
Lo1301,Gai12R_block_7,2,21,105,2,21,0.0856387761006658,102.536138153931,102.621776930031
PB98TR,Gai12R_block_7,11,18,105,11,18,0.434498582493191,102.884997960323,103.319496542817
PHG86,Gai12R_block_7,20,15,90,20,15,-1.64381187921225,100.806687498618,99.1628756194057
PHK76,Gai12R_block_7,11,20,105,11,20,0.0459202530029614,102.496419630833,102.542339883836
PHV63,Gai12R_block_7,11,17,105,11,17,0.641053457895339,103.091552835726,103.732606293621
PHW65,Gai12R_block_7,20,20,85,20,20,-7.06048479253975,95.3900145852903,88.3295297927505
UH_P115,Gai12R_block_7,2,16,105,2,16,-0.446496632886777,102.004002744943,101.557506112057
11430,Gai12R_block_36,18,27,80,18,27,-1.10283778863875,91.0109953920795,89.9081576034408
B84,Gai12R_block_36,18,26,95,18,26,1.78310298398119,93.8969361646997,95.6800391486809
DE811,Gai12R_block_36,9,27,105,9,27,1.32265172879634,93.4364849095149,94.7591366383112
EA1163,Gai12R_block_36,18,25,90,18,25,-0.490025480837588,91.6238076998807,91.1337822190431
EP51,Gai12R_block_36,27,25,80,27,25,-0.767485386151265,91.3463477945671,90.5788624084158
F04701,Gai12R_block_36,27,28,90,27,28,2.63286130180227,94.7466944825209,97.3795557843231
F7058,Gai12R_block_36,18,24,90,18,24,-0.443693401436249,91.670139779282,91.2264463778458
F7082,Gai12R_block_36,9,26,105,9,26,-0.438465340281965,91.6753678404365,91.2369025001545
F838,Gai12R_block_36,27,24,80,27,24,-1.88803197388297,90.2258012068353,88.3377692329523
I242,Gai12R_block_36,18,23,100,18,23,2.24615904664498,94.3599922273636,96.6061512740085
Lo1087,Gai12R_block_36,9,23,105,9,23,-1.89774290577967,90.2160902749385,88.3183473691589
Lo1094,Gai12R_block_36,27,27,75,27,27,-2.32775851181536,89.7860746689028,87.4583161570875
Lo1223,Gai12R_block_36,27,23,100,27,23,3.25195061826425,95.3657837989829,98.6177344172471
Lp5,Gai12R_block_36,9,22,105,9,22,0.0941926383085132,92.2080258190269,92.3022184573354
N192,Gai12R_block_36,18,28,75,18,28,-1.94200354714204,90.1718296335762,88.2298260864341
NQ508,Gai12R_block_36,9,28,105,9,28,-0.454619922711217,91.6592132580072,91.204593335296
UH_P060,Gai12R_block_36,18,22,85,18,22,-1.24980558852387,90.8640275921944,89.6142220036706
UH_P064,Gai12R_block_36,27,26,85,27,26,0.935186370161844,93.0490195508803,93.9842059210422
UH_P089,Gai12R_block_36,9,24,105,9,24,1.08199066531054,93.1958238460292,94.2778145113397
W182E,Gai12R_block_36,9,25,105,9,25,0.891545024333382,93.0053782050518,93.8969232293852
W602S,Gai12R_block_36,27,22,90,27,22,-1.23717053040383,90.8766626503144,89.6394921199106
11430,Gai12R_block_32,26,25,75,26,25,-3.27862923979062,92.7714271415613,89.4927979017707
B100,Gai12R_block_32,8,28,105,8,28,-0.403836107698837,95.6462202736533,95.2423841659545
CO109,Gai12R_block_32,26,22,85,26,22,0.362976017871887,96.4130323992238,96.7760084170957
DK78371A,Gai12R_block_32,17,25,105,17,25,1.17290416011261,97.2229605414647,98.3958647015773
EP72,Gai12R_block_32,26,26,85,26,26,0.191410267524944,96.241466648877,96.4328769164019
EZ42,Gai12R_block_32,17,24,105,17,24,2.0510884746933,98.1011448560454,100.152233330739
EZ48,Gai12R_block_32,8,24,105,8,24,-0.877370170673487,95.1726862106785,94.295316040005
F252,Gai12R_block_32,17,23,85,17,23,-1.33935464770931,94.7107017336428,93.3713470859335
F353,Gai12R_block_32,17,28,105,17,28,0.289530990761691,96.3395873721137,96.6291183628754
F7028,Gai12R_block_32,26,28,85,26,28,-0.903661725008831,95.1463946563431,94.2427329313342
I267,Gai12R_block_32,8,22,105,8,22,-0.685013347562943,95.365043033789,94.680029686226
IDT,Gai12R_block_32,26,23,80,26,23,-1.08080795650515,94.9692484248469,93.8884404683417
Lo1270,Gai12R_block_32,17,26,105,17,26,0.0598290942887019,96.1098854756407,96.1697145699294
Lo1282,Gai12R_block_32,8,26,105,8,26,0.026555434360489,96.0766118157125,96.103167250073
MS71,Gai12R_block_32,8,23,105,8,23,0.543567760156392,96.5936241415085,97.1371919016649
NQ508,Gai12R_block_32,26,24,90,26,24,2.23256244333244,98.2826188246846,100.515181268017
PHG84,Gai12R_block_32,17,22,80,17,22,-0.0732502939140005,95.9768060874379,95.9035557935239
PHG86,Gai12R_block_32,8,27,105,8,27,-0.72333611824115,95.3267202631107,94.6033841448696
PHJ40,Gai12R_block_32,26,27,90,26,27,1.44654952963553,97.4966059109875,98.943155440623
UH_P060,Gai12R_block_32,8,25,105,8,25,1.08983188671955,97.1398882680715,98.2297201547911
UH_P089,Gai12R_block_32,17,27,105,17,27,-0.101546452352878,95.9485099289991,95.8469634766462
11430,Ner12R_block_35,12,9,120,12,9,-3.91142765488014,117.681758014792,113.770330359912
A374,Ner12R_block_35,36,10,125,36,10,-0.269025817545781,121.324159852127,121.055134034581
B113,Ner12R_block_35,24,8,115,24,8,-2.33234910193482,119.260836567738,116.928487465803
F04702,Ner12R_block_35,12,13,125,12,13,2.7633140401567,124.356499709829,127.119813749986
F05404,Ner12R_block_35,36,13,120,36,13,1.30869452134228,122.901880191015,124.210574712357
F752,Ner12R_block_35,24,10,130,24,10,-0.309194887504958,121.283990782168,120.974795894663
F98902,Ner12R_block_35,24,12,140,24,12,5.15654104825276,126.749726717926,131.906267766178
LH145,Ner12R_block_35,12,8,130,12,8,1.71578255094661,123.308968220619,125.024750771566
LH38,Ner12R_block_35,12,12,120,12,12,-1.38699001041631,120.206195659256,118.81920564884
LH60,Ner12R_block_35,12,14,110,12,14,-1.64352954454451,119.949656125128,118.306126580583
Lo1016,Ner12R_block_35,24,9,125,24,9,-0.37115374444906,121.222031925223,120.850878180774
Lo1280,Ner12R_block_35,24,14,105,24,14,-0.341315750576484,121.251869919096,120.91055416852
Lo1301,Ner12R_block_35,12,10,140,12,10,5.90215946345634,127.495345133129,133.397504596586
N22,Ner12R_block_35,36,9,130,36,9,2.23103322699762,123.82421889667,126.055252123668
N6,Ner12R_block_35,36,12,120,36,12,-0.316687671056783,121.276497998616,120.959810327559
NC290,Ner12R_block_35,24,13,115,24,13,-2.07296936909312,119.520216300579,117.447246931486
NC358,Ner12R_block_35,36,14,110,36,14,-0.708421035150437,120.884764634522,120.176343599372
PHJ40,Ner12R_block_35,36,11,120,36,11,-1.4850928806645,120.108092789008,118.622999908343
UH_P115,Ner12R_block_35,12,11,120,12,11,-2.67880850079641,118.914377168876,116.235568668079
Wf9,Ner12R_block_35,24,11,130,24,11,-1.25055888254056,120.342626787132,119.092067904591
11430,Ner12R_block_6,14,20,120,14,20,0.0891555055704316,129.155113333565,129.244268839136
EC169,Ner12R_block_6,2,16,140,2,16,1.07828655098149,130.144244378976,131.222530929958
EC242C,Ner12R_block_6,26,21,120,26,21,-2.10132718318522,126.964630644809,124.863303461624
EP51,Ner12R_block_6,26,18,105,26,18,-1.32555082793455,127.74040700006,126.414856172126
EP55,Ner12R_block_6,2,15,130,2,15,-0.412232193394885,128.6537256346,128.241493441205
EZ18,Ner12R_block_6,14,21,145,14,21,2.670736977118,131.736694805113,134.407431782231
F218,Ner12R_block_6,2,20,95,2,20,-3.71161879407202,125.354339033923,121.642720239851
F354,Ner12R_block_6,14,18,120,14,18,0.279520410369216,129.345478238364,129.624998648733
F894,Ner12R_block_6,14,19,135,14,19,-1.63213055796572,127.433827270029,125.801696712063
F924,Ner12R_block_6,26,19,135,26,19,0.332241863364402,129.398199691359,129.730441554724
Lo1035,Ner12R_block_6,26,20,120,26,20,2.00074937943391,131.066707207429,133.067456586862
Lo1203,Ner12R_block_6,26,15,130,26,15,0.341095772893425,129.407053600888,129.748149373781
NS701,Ner12R_block_6,14,16,140,14,16,-1.41020060829834,127.655757219696,126.245556611398
Oh43,Ner12R_block_6,2,21,115,2,21,0.545780990475052,129.61173881847,130.157519808945
Os426,Ner12R_block_6,14,15,150,14,15,0.32178327967307,129.387741107668,129.709524387341
PHG39,Ner12R_block_6,2,19,140,2,19,2.89695935597922,131.962917183974,134.859876539953
PHG50,Ner12R_block_6,2,18,120,2,18,-0.954518011730102,128.111439816265,127.156921804535
PHZ51,Ner12R_block_6,14,17,140,14,17,0.795819197057284,129.861777025052,130.657596222109
UH_P087,Ner12R_block_6,26,16,125,26,16,0.619834642850734,129.685792470846,130.305627113696
UH_P089,Ner12R_block_6,26,17,120,26,17,-0.424385749183855,128.641572078811,128.217186329627
11430,Ner12R_block_29,34,12,110,34,12,-5.76740106532321,125.522181381839,119.754780316516
A375,Ner12R_block_29,10,11,135,10,11,1.00066013489362,132.290242582056,133.290902716949
B100,Ner12R_block_29,34,11,115,34,11,-4.01306097715866,127.276521470004,123.263460492845
B106,Ner12R_block_29,34,8,130,34,8,-0.95872713119212,130.33085531597,129.372128184778
B73,Ner12R_block_29,22,11,145,22,11,4.64529167789027,135.934874125052,140.580165802942
EC232,Ner12R_block_29,22,10,145,22,10,5.38604929201159,136.675631739173,142.061681031185
F05404,Ner12R_block_29,10,13,125,10,13,-2.86643959560142,128.423142851561,125.556703255959
F353,Ner12R_block_29,22,13,125,22,13,-4.23083579005726,127.058746657105,122.827910867048
F618,Ner12R_block_29,34,10,150,34,10,12.1054719204458,143.395054367607,155.500526288053
F888,Ner12R_block_29,22,8,130,22,8,0.137757054363362,131.427339501525,131.565096555889
I233,Ner12R_block_29,34,13,115,34,13,-3.1842943008152,128.105288146347,124.920993845532
Lo1016,Ner12R_block_29,10,8,150,10,8,3.40634282740047,134.695925274563,138.102268101963
Lo1035,Ner12R_block_29,22,14,140,22,14,4.38337048489842,135.67295293206,140.056323416959
Lo1284,Ner12R_block_29,22,9,120,22,9,-5.89742911833763,125.392153328825,119.494724210487
Mo15W,Ner12R_block_29,10,9,140,10,9,0.26037964408502,131.549962091247,131.810341735332
NK807,Ner12R_block_29,34,14,125,34,14,1.60006505640169,132.889647503564,134.489712559965
PB116,Ner12R_block_29,10,14,130,10,14,-0.336817350886918,130.952765096275,130.615947745388
PB98TR,Ner12R_block_29,22,12,145,22,12,4.82319039403708,136.112772841199,140.935963235236
PHR36,Ner12R_block_29,34,9,120,34,9,-4.40575049976307,126.883831947399,122.478081447636
UH_S018,Ner12R_block_29,10,12,135,10,12,1.82085616592741,133.110438613089,134.931294779017
UH250,Ner12R_block_29,10,10,120,10,10,-7.90867882322057,123.380903623942,115.472224800721
11430,Deb12R_block_27,13,21,108,13,21,2.5828831846711,107.993086758533,110.575969943204
DK78371A,Deb12R_block_27,29,21,92,29,21,-2.44235151995956,102.967852053902,100.525500533943
EZ36,Deb12R_block_27,47,17,100,47,17,-3.96163364060182,101.44856993326,97.4869362926584
F04702,Deb12R_block_27,13,19,110,13,19,3.56027847614396,108.970482050005,112.530760526149
F05101,Deb12R_block_27,29,16,100,29,16,-3.7060605876809,101.704142986181,97.9980823985002
I261,Deb12R_block_27,47,15,119,47,15,1.65351449709222,107.063718070954,108.717232568046
LAN496,Deb12R_block_27,29,17,118,29,17,4.28278358213761,109.692987155999,113.975770738137
LH145,Deb12R_block_27,13,15,109,13,15,0.903132720230971,106.313336294093,107.216469014324
LH38,Deb12R_block_27,13,18,99,13,18,-0.490341890780243,104.919861683081,104.429519792301
LH60,Deb12R_block_27,13,17,100,13,17,-0.247412052430519,105.162791521431,104.915379469001
LH82,Deb12R_block_27,47,20,110,47,20,0.982678882990228,106.392882456852,107.375561339842
Lo1101,Deb12R_block_27,29,18,101,29,18,-2.62380202209231,102.78640155177,100.162599529677
Lo1301,Deb12R_block_27,13,16,100,13,16,-0.958329620324093,104.451873953538,103.493544333214
N22,Deb12R_block_27,29,15,109,29,15,0.937440560666545,106.347644134528,107.285084695195
NDB8,Deb12R_block_27,29,19,105,29,19,0.213280432744057,105.623484006606,105.83676443935
NS701,Deb12R_block_27,47,19,115,47,19,2.60297526583034,108.013178839692,110.616154105522
Pa91,Deb12R_block_27,47,16,110,47,16,0.0614318525877593,105.471635426449,105.533067279037
UH_P074,Deb12R_block_27,29,20,98,29,20,-0.703573312166583,104.706630261695,104.003056949529
UH_P115,Deb12R_block_27,13,20,95,13,20,-3.21017871179603,102.200024862066,98.9898461502701
UH_S025,Deb12R_block_27,47,18,108,47,18,0.425250027628493,105.83545360149,106.260703629119
UH250,Deb12R_block_27,47,21,109,47,21,0.138033875110096,105.548237448972,105.686271324082
11430,Deb12R_block_1,19,2,120,19,2,2.3440707998664,110.434118416901,112.778189216767
B106,Deb12R_block_1,1,1,90,1,1,-0.476145820064573,107.61390179697,107.137755976905
B89,Deb12R_block_1,1,4,105,1,4,0.412204178673036,108.502251795708,108.914455974381
CR1Ht,Deb12R_block_1,1,2,105,1,2,-0.687672611625985,107.402375005409,106.714702393783
DK4676A,Deb12R_block_1,33,4,95,33,4,-2.10367448435198,105.986373132683,103.882698648331
F04401,Deb12R_block_1,33,2,106,33,2,-1.11198445519337,106.978063161841,105.866078706648
F354,Deb12R_block_1,19,7,100,19,7,-2.11961247689796,105.970435140137,103.850822663239
F7001,Deb12R_block_1,33,6,130,33,6,0.262420333664238,108.352467950699,108.614888284363
F7057,Deb12R_block_1,19,1,105,19,1,-1.58915607363056,106.500891543404,104.911735469774
F7058,Deb12R_block_1,1,6,80,1,6,-1.54691863721682,106.543128979818,104.996210342601
LH60,Deb12R_block_1,33,7,115,33,7,-0.301043070523392,107.789004546511,107.487961475988
Lo1056,Deb12R_block_1,1,3,120,1,3,1.64979253128664,109.739840148321,111.389632679608
NK764,Deb12R_block_1,1,7,90,1,7,0.831329492946352,108.921377109981,109.752706602927
P465P,Deb12R_block_1,19,3,119,19,3,-0.981615293881617,107.108432323153,106.126817029271
PB116,Deb12R_block_1,19,4,120,19,4,1.59024833813254,109.680295955167,111.2705442933
UH_P089,Deb12R_block_1,33,5,110,33,5,-0.0274274716655611,108.062620145369,108.035192673703
UH_S020,Deb12R_block_1,19,6,129,19,6,3.69256858624331,111.782616203278,115.475184789521
Va26,Deb12R_block_1,1,5,80,1,5,-0.937487121676881,107.152560495358,106.215073373681
W64A,Deb12R_block_1,19,5,112,19,5,-1.21102276514316,106.879024851892,105.668002086749
Wf9,Deb12R_block_1,33,3,109,33,3,2.31112602105603,110.40117363809,112.712299659146
11430,Deb12R_block_15,41,16,100,41,16,-2.97716840977775,106.745627619164,103.768459209386
A310,Deb12R_block_15,23,21,123,23,21,1.1073595178416,110.830155546782,111.937515064624
B106,Deb12R_block_15,23,20,115,23,20,1.49993747977831,111.222733508719,112.722670988497
B110,Deb12R_block_15,23,15,109,23,15,-1.31192683185235,108.410869197089,107.098942365237
DKFAPW,Deb12R_block_15,9,16,95,9,16,-1.85834394494553,107.864452083996,106.00610813905
EZ40,Deb12R_block_15,41,19,110,41,19,0.153226991651962,109.876023020593,110.029250012245
F05101,Deb12R_block_15,41,21,110,41,21,2.33382811742955,112.05662414637,114.390452263799
F7081,Deb12R_block_15,41,18,111,41,18,0.590116890278722,110.31291291922,110.903029809498
F874,Deb12R_block_15,9,17,95,9,17,-3.58137696178773,106.141419067154,102.560042105367
F888,Deb12R_block_15,23,17,102,23,17,-1.29525793888784,108.427538090053,107.132280151165
HMV5347,Deb12R_block_15,23,16,109,23,16,-0.270360881276119,109.452435147665,109.182074266389
LAN496,Deb12R_block_15,9,18,119,9,18,3.37745936515428,113.100255394094,116.477714759248
LH82,Deb12R_block_15,9,21,112,9,21,-2.83987403364694,106.882921995295,104.043047961648
Lo1035,Deb12R_block_15,41,15,121,41,15,2.52297275942628,112.245768788367,114.768741547793
Lo1095,Deb12R_block_15,9,15,111,9,15,3.01215593194425,112.734951960884,115.747107892829
Lo1199,Deb12R_block_15,41,17,110,41,17,2.13001298114884,111.852809010089,113.982821991238
Oh40B,Deb12R_block_15,9,19,120,9,19,1.35947078522281,111.082266814163,112.441737599386
PHG35,Deb12R_block_15,41,20,98,41,20,-4.06636110836509,105.656434920577,101.590073812212
W117,Deb12R_block_15,23,19,100,23,19,-1.29918728113086,108.42360874781,107.12442146668
Wf9,Deb12R_block_15,9,20,120,9,20,1.41331657179417,111.136112600735,112.549429172529
11430,Gai13R_block_2,54,12,75,54,12,0.459716967092362,78.1995955453493,78.6593125124416
A375,Gai13R_block_2,53,3,75,53,3,-0.493928359619375,77.2459502186377,76.7520218590183
B89,Gai13R_block_2,57,3,70,57,3,0.121180050127848,77.8610586283848,77.9822386785127
DE811,Gai13R_block_2,54,3,80,54,3,1.62335341371256,79.3632319919694,80.986585405682
EC140,Gai13R_block_2,56,12,70,56,12,0.56780802219852,78.3076866004555,78.875494622654
EC242C,Gai13R_block_2,51,3,80,51,3,-0.553084433205171,77.1867941450521,76.6337097118469
EZ47,Gai13R_block_2,54,21,90,54,21,2.78086550544477,80.5207440837014,83.3016095891462
F354,Gai13R_block_2,55,12,70,55,12,-0.73623738400903,77.0036411942482,76.2674038102391
F7019,Gai13R_block_2,55,21,70,55,21,0.764601173924334,78.5044797521812,79.2690809261055
F7028,Gai13R_block_2,51,21,70,51,21,-0.633114471841125,77.1067641064161,76.473649634575
FP1,Gai13R_block_2,53,21,80,53,21,-1.13199317180876,76.6078854064484,75.4758922346397
LAN496,Gai13R_block_2,55,3,100,55,3,2.16976123601759,79.9096398142743,82.0794010502919
N16,Gai13R_block_2,52,21,80,52,21,0.0665666064848693,77.806445184742,77.8730117912268
N6,Gai13R_block_2,52,3,75,52,3,-0.222627070583073,77.517251507674,77.2946244370909
NK807,Gai13R_block_2,53,12,75,53,12,-0.844329021180926,76.8955495570762,76.0512205358953
Os426,Gai13R_block_2,57,21,100,57,21,-0.126525749977901,77.6133528282792,77.4868270783013
Pa91,Gai13R_block_2,56,21,90,56,21,-1.30561840977998,76.4342601684772,75.1286417586972
PB98TR,Gai13R_block_2,56,3,70,56,3,-2.22987335400418,75.5100052242532,73.280131870249
UH_P064,Gai13R_block_2,52,12,80,52,12,0.351624798434912,78.0915033766919,78.4431281751268
UH_P104,Gai13R_block_2,57,12,65,57,12,-0.628146347427943,77.1117322308293,76.4835858834013
11430,Gai13R_block_15,61,25,80,61,25,-1.44305150497044,77.8424147449101,76.3993632399397
B73,Gai13R_block_15,58,25,75,58,25,-4.0039908403737,75.281475409507,71.2774845691332
B84,Gai13R_block_15,59,7,90,59,7,5.8802591247543,85.1657253746347,91.045984499389
EC175,Gai13R_block_15,61,7,85,61,7,3.55694849502974,82.8424147449102,86.3993632399399
F05404,Gai13R_block_15,62,25,80,62,25,-0.139526895467327,79.1459393544132,79.0064124589459
F1808,Gai13R_block_15,60,16,80,60,16,0.582445411684702,79.8679116615653,80.45035707325
F1890,Gai13R_block_15,60,25,90,60,25,4.06458826885908,83.3500545187395,87.4146427875986
F838,Gai13R_block_15,59,16,80,59,16,-0.90545516102361,78.3800110888569,77.4745559278333
FP1,Gai13R_block_15,63,16,85,63,16,2.79393322066821,82.0793994705487,84.8733326912169
FR19,Gai13R_block_15,64,7,75,64,7,-0.723639944835242,78.5618263050453,77.8381863602101
LH65,Gai13R_block_15,62,7,80,62,7,1.82475881881859,81.1102250686991,82.9349838875177
Lo1016,Gai13R_block_15,61,16,85,61,16,2.30694849502976,81.5924147449102,83.89936323994
Lo1094,Gai13R_block_15,60,7,60,60,7,-7.8996974454265,71.3857688044543,63.4860713590278
Lo1203,Gai13R_block_15,64,16,70,64,16,-3.67006851616864,75.615397733712,71.9453292175434
N22,Gai13R_block_15,58,16,80,58,16,0.549580588102714,79.8350468379833,80.384627426086
PHG35,Gai13R_block_15,62,16,70,62,16,-4.15738403829263,75.128082211588,70.9706981732954
PHG71,Gai13R_block_15,63,25,80,63,25,-0.420352493680895,78.8651137561997,78.4447612625188
PHW65,Gai13R_block_15,58,7,70,58,7,-2.39684798323073,76.8886182666499,74.4917702834192
PHZ51,Gai13R_block_15,64,25,80,64,25,0.883502912307435,80.168969162188,81.0524720744954
UH_P104,Gai13R_block_15,63,7,80,63,7,1.00821893489011,80.2936851847707,81.3019041196608
W602S,Gai13R_block_15,59,25,90,59,25,2.30883055332539,81.5942968032059,83.9031273565312
11430,Gai13R_block_29,73,3,60,73,3,-3.47955738379549,78.2903063508113,74.8107489670158
DE811,Gai13R_block_29,78,12,95,78,12,3.6947267440729,85.4645904786796,89.1593172227525
DK78010,Gai13R_block_29,77,21,80,77,21,1.5895674383048,83.3594311729115,84.9489986112163
EA1027,Gai13R_block_29,78,21,80,78,21,1.56486251947169,83.3347262540784,84.8995887735501
EC232,Gai13R_block_29,72,21,70,72,21,-3.78091326816298,77.9889504664438,74.2080371982808
EC242C,Gai13R_block_29,75,21,65,75,21,-5.98943352408374,75.780430210523,69.7909966864392
EP52,Gai13R_block_29,76,3,75,76,3,-4.04970352925353,77.7201602053533,73.6704566760997
EZ18,Gai13R_block_29,75,12,100,75,12,6.41765818338389,88.1875219179904,94.6051801013743
EZ47,Gai13R_block_29,77,3,85,77,3,-1.80440184682183,79.9654618877849,78.161060040963
F608,Gai13R_block_29,73,12,75,73,12,-6.07362573104554,75.6962380035612,69.6226122725157
F888,Gai13R_block_29,74,3,65,74,3,-3.6519891114234,78.1178746231834,74.4658855117599
HMV5325,Gai13R_block_29,75,3,80,75,3,1.16254809605877,82.9324118306653,84.0949599267241
HMV5347,Gai13R_block_29,76,21,70,76,21,-3.43031545256491,78.3395482820419,74.909232829477
Lo1056,Gai13R_block_29,74,21,90,74,21,6.42889077191856,88.1987545065251,94.6276452784436
Lo1242,Gai13R_block_29,77,12,70,77,12,-8.68699571738482,73.082868017222,64.3958722998372
Lo1288,Gai13R_block_29,76,12,90,76,12,1.38529021005706,83.1551539446637,84.5404441547208
MS153,Gai13R_block_29,78,3,105,78,3,5.39385387151846,87.1637176061251,92.5575714776435
NS701,Gai13R_block_29,74,12,90,74,12,1.42664567204007,83.1965094066466,84.6231550786867
PHG84,Gai13R_block_29,73,21,80,73,21,1.34117708984722,83.1110408244539,84.4522179143011
PHT77,Gai13R_block_29,72,3,70,72,3,4.15308547844995,85.9229492130566,90.0760346915065
PHZ51,Gai13R_block_29,72,12,100,72,12,6.38862948941259,88.1584932240192,94.5471227134317
11430,Ner13R_block_32,9,53,70,9,53,-6.50618205731519,70.9117311592548,64.4055491019396
DKFBHJ,Ner13R_block_32,1,55,65,1,55,-6.42823652503985,70.9896766915302,64.5614401664903
EP51,Ner13R_block_32,5,52,70,5,52,-2.01255033093702,75.405362885633,73.392812554696
F1808,Ner13R_block_32,1,54,92,1,54,6.24027164649522,83.6581848630653,89.8984565095605
F712,Ner13R_block_32,9,54,90,9,54,4.81313585474432,82.2310490713145,87.0441849260588
H99,Ner13R_block_32,1,51,75,1,51,-4.39487046253674,73.0230427540333,68.6281722914966
I267,Ner13R_block_32,9,56,80,9,56,2.68998000277608,80.1078932193461,82.7978732221222
IDT,Ner13R_block_32,5,56,55,5,56,-4.56783418849782,72.8500790280722,68.2822448395744
Lo1094,Ner13R_block_32,5,55,65,5,55,-0.768532012431194,76.649381204139,75.8808491917078
Lo1203,Ner13R_block_32,5,50,75,5,50,-1.81626127842613,75.601651938144,73.7853906597178
Lo1266,Ner13R_block_32,5,54,70,5,54,0.349494746831695,77.7674079634018,78.1169027102335
ML606,Ner13R_block_32,1,56,85,1,56,4.19066791271383,81.608581129284,85.7992490419979
NC290,Ner13R_block_32,1,53,80,1,53,-0.367193929268481,77.0507192873016,76.6835253580331
PB116,Ner13R_block_32,5,51,85,5,51,4.33314335863027,81.7510565752004,86.0841999338307
PHG71,Ner13R_block_32,9,51,85,9,51,-1.96812942773532,75.4497837888347,73.4816543610994
PHG84,Ner13R_block_32,9,50,95,9,50,1.49232195922228,78.9102351757924,80.4025571350147
UH_6102,Ner13R_block_32,1,52,82,1,52,-0.138230704339719,77.2796825122305,77.1414518078908
UH_6179,Ner13R_block_32,9,55,75,9,55,-1.14482926056549,76.2730839560046,75.1282546954391
UH_P024,Ner13R_block_32,1,50,90,1,50,2.27858725556106,79.6965004721312,81.9750877276923
UH_P148,Ner13R_block_32,9,52,90,9,52,2.00469812245949,79.4226113390295,81.427309461489
Va26,Ner13R_block_32,5,53,75,5,53,1.72054931765848,79.1384625342286,80.8590118518871
11430,Ner13R_block_3,6,3,102,6,3,-6.03569487595479,106.186154860653,100.150459984698
B106,Ner13R_block_3,10,3,122,10,3,2.23903080990041,114.460880546507,116.699911356408
B107,Ner13R_block_3,6,4,126,6,4,4.7649853410209,116.986835077627,121.751820418648
DK78010,Ner13R_block_3,2,5,125,2,5,3.09282317493242,115.314672911539,118.407496086471
EC169,Ner13R_block_3,2,6,100,2,6,-7.78374817373275,104.438101562875,96.6543533891419
F7025,Ner13R_block_3,10,7,97,10,7,-3.15384178682196,109.068007949785,105.914166162963
F908,Ner13R_block_3,2,2,120,2,2,2.39869428470068,114.620544021307,117.019238306008
Lo1101,Ner13R_block_3,6,2,113,6,2,0.0347190012783187,112.256568737885,112.291287739164
Lo1106,Ner13R_block_3,10,5,113,10,5,-0.46720062440707,111.7546491122,111.287448487793
Lo1180,Ner13R_block_3,10,6,117,10,6,4.07257979310586,116.294429529712,120.367009322818
Lo1242,Ner13R_block_3,6,7,103,6,7,-1.55695137749744,110.664898359109,109.107946981612
Lo1288,Ner13R_block_3,6,5,123,6,5,3.71914413104889,115.940993867655,119.660137998704
Mo17,Ner13R_block_3,10,2,117,10,2,2.20968599612162,114.431535732728,116.64122172885
N16,Ner13R_block_3,2,3,125,2,3,2.29438924994314,114.51623898655,116.810628236493
N6,Ner13R_block_3,10,1,93,10,1,-5.25076347471318,106.971086261894,101.720322787181
NC358,Ner13R_block_3,6,1,120,6,1,3.5727554480633,115.79460518467,119.367360632733
NDB8,Ner13R_block_3,2,7,125,2,7,5.94708747853093,118.168937215137,124.116024693668
PHG80,Ner13R_block_3,10,4,118,10,4,0.330261196447253,112.552110933054,112.882372129501
PHJ40,Ner13R_block_3,6,6,102,6,6,-4.4584614872213,107.763388249386,103.304926762165
W9,Ner13R_block_3,2,1,100,2,1,-3.0118365932105,109.210013143397,106.198176550186
Wf9,Ner13R_block_3,2,4,115,2,4,-2.95765751153563,109.264192225071,106.306534713536
11430,Ner13R_block_22,3,38,65,3,38,-14.7414863896368,80.8133261846263,66.0718397949895
A310,Ner13R_block_22,11,42,95,11,42,-0.95789189247121,94.5969206817915,93.6390287893203
