Genotype,anthesis.silking.interval,anthesis,ear.height,grain.number,grain.weight,grain.yield,plant.height,silking,tassel.height
11430,-0.184716837816398,-0.0435840386887191,-2.52372917949712,-38.4023966007935,-2.52124234714639,0.0350444907596731,1.21015241698778,0.391880526600457,1.94843066741628
A3,-0.820071348118291,-0.35872295976759,-2.32189036455797,-0.356068636107365,0.681773840998664,-0.0887662427902318,-1.47776583513823,0.602612453124195,-0.0878224441342177
A310,0.547088542996435,-0.736918307606335,2.95343698587403,-76.6768650147641,15.4137420163146,-0.0358035196876028,0.289901000047138,-1.89160904062056,-0.0352177789531954
A347,0.725757262368914,0.888553259543416,1.40497334841786,-114.8477842694,6.35458002043692,-0.265399928229436,-0.66242741428677,-0.282066458011112,0.392080968035745
A374,0.261925135024667,0.0332743033179449,0.744323340643117,214.015863612708,-8.44009408195508,0.249418313067546,-0.876546228951515,-0.74848127214979,-2.86627852492386
A375,0.562819287877412,0.0997308089987209,-0.0640511185035468,85.3929701744214,0.912453427430073,0.252193872142114,0.923262092197216,-1.2384893349686,-0.00803980285678659
A554,0.378345522215092,-2.26441242954322,-0.622623327965828,-82.7567488465351,2.56871553663631,-0.174615685402132,-2.04311199407356,-3.06491739051871,0.896736780170889
AS5707,0.591342126224702,0.689222086811577,4.16718122685427,234.620336100628,0.662224768938743,0.506167354915563,8.31821220093478,0.225119293770598,10.2122776344634
B100,0.125407134187243,-0.262220670447565,-2.04350273150689,-7.21558112992744,1.34329751517912,0.202938065008289,-4.12887040069397,-0.819902841084572,-3.10588513443954
B104,-0.6723298356495,1.25081046716442,-1.55373234186781,-40.5082851294542,15.5532777143599,0.0631771337272773,-2.40306641310845,2.14863647756841,-1.12842388880314
B105,-0.781767412901776,-0.346881035479825,-3.14217513630412,-12.3180472483487,10.7195753595959,0.0791517225759018,-0.677741014175504,0.542269125948825,1.0545512454346
B106,-0.145696852893726,0.729827338237682,0.0640036609123242,-0.380774224021474,-2.48834801915626,-0.197016307167248,3.17799997790101,0.970339888304343,4.10098703521592
B107,0.222643211476854,1.34868156322258,3.46455644640347,94.0421505904557,6.53060591915305,0.538506593013768,3.12259642619073,1.66946999841775,4.95827813462091
B108,0.205376336025692,0.915222442983538,0.816658583654192,6.07385435340334,-0.126338990830596,0.070413236258724,0.0978796777367686,0.138890346776657,0.547346208929193
B109,-0.332259075789812,-0.905534394566697,0.728509444302438,-115.293886836588,7.23128555354659,-0.15578065640388,2.45251535252875,-0.0250974146749613,3.34529284143468
B110,-0.460478239653958,0.431608346164552,1.42593402979435,47.1486159005801,2.33543453381491,0.146693922040495,0.149565347507975,0.867905770668294,-0.675653229314222
B113,-0.538150101845921,1.15199063227701,-1.76773103573954,167.073206431015,-10.0713379298925,0.256270172418134,-1.38135467940473,1.87388256444668,-0.216587397056707
B37,-0.530442233031318,1.46522949349828,0.377228766049169,-79.2046034923585,-4.29995460602357,0.020474564132879,2.21431916809042,2.14722975370475,3.74455064299875
B73,0.0914674523118893,-0.345515474939616,1.0923628242034,18.9848923008636,0.351487544867125,0.020012796991951,1.90095204370607,-0.288823145292032,1.49231585501684
B84,0.328786657115798,1.27553703997544,-0.0751983305966961,36.097771343705,16.5343707975025,0.380978971695022,4.15898683233001,0.739069502941936,4.47002143271054
B89,-0.474905048659274,-1.16374387240391,-3.16551266074558,-85.0250643631123,10.4287338719297,-0.124952359459131,-3.87379703257638,-0.523662038285787,-1.63681501550051
B97,0.194663545354682,0.947159778908087,0.200349256875912,209.31680849281,17.0785313713516,0.842138033366571,0.911906610225227,0.192973136678174,-0.750401420423213
B98,-1.13535203236188,1.5772130470786,1.55741334804642,189.660357404251,-6.56954905137815,0.321432500459026,8.64812105952378,2.92112479890101,10.5610023525845
C103,-0.784839369585559,0.0412119242380729,0.280223005669026,-109.731789335466,0.169669288841933,-0.322202652523341,2.21787708927734,1.93428687617984,1.32149175375413
CO109,-0.3519750497884,-1.55788758475896,-0.856077504928005,-122.670382480424,-7.51238533169139,-0.505014121322105,-2.2684250796906,-1.34300390705831,-5.59727701667517
CR1Ht,0.704038913134697,-3.12164981015892,-1.8002688843149,-90.2613180925812,16.9271312640451,-0.165342852095159,-1.19952439302336,-3.74491913360738,-3.84140144381141
D09,-0.243603450142311,-1.86737069867055,-1.70991458440132,13.8422586039041,-11.1909704374739,-0.166562457313103,-4.68811677613524,-2.38204717463333,-3.07464744162083
DE811,-0.339970298806196,0.885653859378047,0.645548683306139,121.817301667013,-7.64076546428955,0.200751629205639,2.99232387983604,1.61619034320301,3.74374203798829
DK4676A,0.409672855610314,-1.20002662935613,-0.986268611569033,-184.763084177412,12.2646610543128,-0.309488878448513,0.912008319356751,-1.44094288272183,-0.879066762696533
DK78010,0.724554486545352,-0.501207298676456,-1.55969061800278,-27.2941431392071,13.1366860248974,0.0622098961014242,-3.84911144734579,-1.31445522773418,-4.78725374955453
DK78371A,0.142846024041091,0.839991982780059,-1.19216122695114,-0.00295187670654594,2.87617381366378,0.295604958165485,5.35117316592715,0.498757208313319,5.8126210719362
DKFAPW,-0.655727423201095,-1.25354340897795,0.393808682219673,39.3912457986532,-7.85995334207023,-0.0413751655358892,-1.57712269692547,-0.63656051669071,-1.09721898204263
DKFBHJ,0.289988212883178,-0.437483462983723,-2.91755566191921,-107.82416248215,0.592188645486402,-0.304976714216082,0.851584965918175,-1.29876731491717,0.339642369156248
DKIBO2,0.192292480532697,-1.18084986953002,-0.845360980378514,-146.223051474124,3.75119800316237,-0.386317406464311,2.7949294832305,-1.693998431464,3.97661888751608
DKMBST,-0.153555484078475,1.42391831666426,-1.85872679723718,53.5174214294723,3.30935877774551,0.469974073272061,-0.621912918537567,0.602121582761269,1.16100226052345
EA1027,-0.183550362881856,0.790801654835564,1.49029120222864,-134.817788188769,15.459916402532,-0.219228032795575,-1.7911811884811,0.594138753490853,0.80474834315645
EA1163,-0.122023153441341,-1.25362848723453,-1.30539109152761,-177.330931850444,2.19831639225476,-0.399586471128455,3.02643545976641,-0.953471343647107,3.70126808917187
EA3076,-0.95956735615422,0.696864210485536,-0.325303734856528,-114.537036561069,6.84447122622318,-0.273335021614594,-1.14188514476138,1.56120748055168,-1.30489424337453
EC136,-0.260322556728564,-2.18628748198132,-2.29697119858626,-355.021507377394,8.12468991416371,-0.908747756086655,1.93923314401234,-1.65997561203563,0.708805855613421
