"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref"
;"MIPO:0000011";"ROWNB";"Kernel row number";;"After harvest";;"CO_322:0000167";;;;"EN";"Maize";"CO_322:0000167";"Grain row number";"Agronomical";"Number of grain rows in the central part of the uppermost ear.";"Kernel row number";"GRN";"ROWNB";"Row";"Grain row number";;;"CO_322:0000221";"GCol – Estimation";"Counting";"Count total number of grain rows in the ear.
";;"IBPGR, 1991. International Maize and Wheat Improvement Center, Mexico City/International Board for Plant Genetic Resources, Rome. ISBN 9290431891. http://www.bioversityinternational.org/fileadmin/bioversity/publications/pdfs/104.pdf?cache=1328202180";"CO_322:0000515";"row/ear";"Numerical";;;;
;"MIPO:0000012";"TKW";"Thousand kernel weight (g)";;"After harvest";;"CO_322:0000133";;;;"EN";"Maize";"CO_322:0000133";"Grain weight";"Agronomical";"Grain weight of mature kernels.";"Grain weight";"GW";"KW, TKW";"Grain";"Weight";;;"CO_322:0000341";"GW DW - Measurement";"Measurement";"Count and weigh grains randomly selected from the total grains.";;"IMIS (International Maize Information System; http://imis.cimmyt.org/) Database, CIMMYT.";"CO_322:0000722";"g/1000grain";"Numerical";;;;
;"MIPO:0000013";"KW";"Kernel weight per plant (g)";;"After harvest";;"CO_322:0000005";;;;"EN";"Maize";"CO_322:0000005";"Grain yield";"Agronomical";"Grain yield per unit area, either field weight basis, dry weight basis or adjusted.";"grains weight per plant, kernel weight per plant";"GY";"KW";"Grain";"Weight";;;;;;;;;;;;;;;
;"MIPO:0000014";"TL";"Tassel length (cm)";;;;"CO_322:0000038";;;;"EN";"Maize";"CO_322:0000038";"Tassel size";"Morphological";"Tassel size.";"Tassel length";"TslSiz";"TL";"Tassel";"size";;;;;;;;;;;;;;;
;"MIPO:0000015";"BRNB";"Tassel branch number (qualitative)";;;;"CO_322:0000164";;;;"EN";"Maize";"CO_322:0000164";"Tassel branching type";"Morphological";"Branching type of tassel.";;"TslTyp";;"Tassel";"branching type";;;"CO_322:0000351";"TslTyp - Estimation";"Estimation";"Standard method for tassel type.";;;;;;;;;
;"MIPO:0000016";"TaAK";"Tassel secondary branches angle (qualitative)";;;;"CO_322:0000544";;;;"EN";"Maize";"CO_322:0000544";"Tassel opening";"Morphological";"Tassel angle.";"tassel secondary branch angle";"TslOpen";;"Tassel";"opening";;;"CO_322:0000637";"TslOpen - Estimation";"Estimation";"Standard method for tassel opening";;"IMIS (International Maize Information System; http://imis.cimmyt.org/) Database, CIMMYT.";;;;;;;
;"MIPO:0000017";"GN";"Grain number";;"After harvest";;"CO_322:0000010";;;;"EN";"Maize";"CO_322:0000010";"Grain number";"Agronomical";"Grain number";;"GN";;"Grain";"Number";;;"CO_322:0000345";"GN - Computation";"Computation";"Standard method for grain number.";;;"MIPO:0000026";"grain/m-2";"Numerical";;;;
;"MIPO:0000018";"GY_Adj_tha";"Grain yield";;"After harvest";;"CO_322:0000622";;;;"EN";"Maize";"CO_322:0000005";"Grain yield";"Agronomical";"Grain yield per unit area, either field weight basis, dry weight basis or adjusted.";"grains weight per plant, kernel weight per plant";"GY";"KW";"Grain";"Weight";;;"CO_322:0000197";"Adjusted GY - Computation";"Computation";"Calculate shelled grain yield per unit area.";;;"CO_322:0000622";"t/ha";"Numerical";;;;
;"MIPO:0000019";"TnbL";"Leaves number";;;;;;;;"EN";"Maize";"MIPO:0000022";"Leaves number";"Morphological";"Leaves number";;"TnbL";;"Leaf";"Number";;;"MIPO:0000023";"Leaves counting";"Counting";"Leaves counting";;;"MIPO:0000024";"leaves/plant";"Numerical";;;;
;"MIPO:0000020";"LL";"Leaf length";;;;"CO_322:0000780";;;;"EN";"Maize";"CO_322:0000025";"Leaf length";"Morphological";"Leaf length";;"LLng";;"Leaf";"Length";;;"CO_322:0000291";"Leaf length measurement";"Measurement";;;;"CO_322:0000348";"cm";"Numerical";;;;
;"MIPO:0000021";"LW";"Leaf width";;;;"CO_322:0000782";;;;"EN";"Maize";"CO_322:0000026";"Leaf width";"Morphological";"Leaf width";;"LWid";;"Leaf";"Width";;;"CO_322:0000268";"Leaf width measurement";"Measurement";;;;"CO_322:0000348";"cm";"Numerical";;;;
;"MIPO:0000022";"FFLW_D20deg";"Female flowering days to silking D20deg, FFLW";;"Flowering";;;;;;"EN";"Maize";"CO_322:0000031";"Silking time";"Phenological ";"Silking time";"Female flowering time";"Silk";"S, FFlw";"Flower";"Silking time";;;"MIPO:0000025";"Thermal time between emergence and silking – Computation";"Computation";"Calculated as equivalent days at 20 °C unit between emergence and 50% anthesis.";;"B. Parent, O. Turc, Y. Gibon, M. Stitt and F. Tardieu (2010) Modelling temperature-compensated physiological rates, based on the co-ordination of responses to temperature of developmental processes. Journal of Experimental Botany 61(8):2057-69 – DOI: 10.1093/jxb/erq003";"MIPO:0000028";"D20deg: days equivalent time at 20 °C";"Numerical";;;;
;"MIPO:0000023";"MFLW_D20deg";"Male flowering days to anthesis D20deg, MFLW";;"Flowering";;;;;;"EN";"Maize";"CO_322:0000030";"Anthesis time";"Phenological ";"Anthesis time";"Male flowering time";"Ant";"MFlw";"Flower";"Anthesis time";;;"MIPO:0000026";"Thermal time between emergence and to anthesis - Computation";"Computation";"Calculated as equivalent days at 20 °C unit between emergence and 50% anthesis.";;"B. Parent, O. Turc, Y. Gibon, M. Stitt and F. Tardieu (2010) Modelling temperature-compensated physiological rates, based on the co-ordination of responses to temperature of developmental processes. Journal of Experimental Botany 61(8):2057-69 – DOI: 10.1093/jxb/erq004";"MIPO:0000029";"D20deg: days equivalent time at 20 °C";"Numerical";;;;
;"MIPO:0000024";"ASI_D20deg";"Anthesis to silking interval D20deg, ASI";;"Flowering";;;;;;"EN";"Maize";"CO_322:0000001";"Anthesis silking interval";"Phenological ";"Anthesis silking interval";;"ASI";;"Flower";"Anthesis silking interval";;;"MIPO:0000027";"Anthesis silking interval in thermal time – Computation";"Computation";"Calculated as equivalent days at 20 °C unit between 50% anthesis and silking.";;"B. Parent, O. Turc, Y. Gibon, M. Stitt and F. Tardieu (2010) Modelling temperature-compensated physiological rates, based on the co-ordination of responses to temperature of developmental processes. Journal of Experimental Botany 61(8):2057-69 – DOI: 10.1093/jxb/erq005";"MIPO:0000030";"D20deg: days equivalent time at 20 °C";"Numerical";;;;
